"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value","ELSA_ageism_adjusted$OR","ELSA_ageism_adjusted$CI1","ELSA_ageism_adjusted$CI2","ELSA_ageism_adjusted$p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.00981082285422299","0.00435771991072696","0.0191129395505208","4.93487672596452e-35","0.00917474522047984","9.45167842609874e-05","0.900281204609431","0.0430798560363167"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.919291245562108","0.410428160497989","2.24416231898361","0.844711119988544","0.92006159097383","0.409164902168058","2.2561612836621","0.846972234801769"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.83179972011354","0.448286592179876","6.30378282091663","0.358549593441691","1.76039298510827","0.429540759117511","6.09654631373925","0.392923661062147"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.97130976210887","0.363678305522363","14.0276174737252","0.45794600727586","1.95304585940706","0.359982452439053","13.942762348359","0.464694707872968"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.00981082285422299","0.00435771991072696","0.0191129395505208","4.93487672596452e-35","0.00917474522047984","9.45167842609874e-05","0.900281204609431","0.0430798560363167"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.919291245562108","0.410428160497989","2.24416231898361","0.844711119988544","0.92006159097383","0.409164902168058","2.2561612836621","0.846972234801769"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.83179972011354","0.448286592179876","6.30378282091663","0.358549593441691","1.76039298510827","0.429540759117511","6.09654631373925","0.392923661062147"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.97130976210887","0.363678305522363","14.0276174737252","0.45794600727586","1.95304585940706","0.359982452439053","13.942762348359","0.464694707872968"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","0.0240136486014385","0.0140298707687619","0.038234919151949","1.43985120724485e-48","0.159862461715486","0.00429897910066938","6.63420991400257","0.325041753324748"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.75069977487086","0.871749278058796","3.81899292123747","0.135151743449204","1.80434118559491","0.89515430547022","3.95882950937069","0.117705357650979"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.52446758534344","0.563371351616453","3.69257981920512","0.372219901109596","1.63451912836769","0.602158279271839","3.98227961167648","0.300679659410628"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","2.47349525054442","0.489906903856219","17.0182242184377","0.309797642914552","2.4749045286872","0.493433446388205","16.7319491689079","0.305808416964342"
