"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value","ELSA_results_all_discrim_bin_adjusted$OR","ELSA_results_all_discrim_bin_adjusted$CI1","ELSA_results_all_discrim_bin_adjusted$CI2","ELSA_results_all_discrim_bin_adjusted$p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.00999549929954786","0.00421862273390096","0.0201996439547877","3.37524701398877e-31","0.00820295370461093","8.031522422049e-05","0.851878217583506","0.0407212747403612"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.862531977342991","0.370712333652131","2.18392966244917","0.741395336116712","0.860353192700423","0.367030140575349","2.19352812684083","0.739166617403588"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.30202668470269","0.352046587312951","4.35382583693959","0.674395615785148","1.24248276838085","0.333482052068183","4.20687166110186","0.731873896960926"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","2.09698910683514","0.42629817405986","12.7338243649111","0.384937493854986","2.0857061061247","0.423463245393336","12.7224415945044","0.389091813233455"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.00999549929954786","0.00421862273390096","0.0201996439547877","3.37524701398877e-31","0.00820295370461093","8.031522422049e-05","0.851878217583506","0.0407212747403612"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.862531977342991","0.370712333652131","2.18392966244917","0.741395336116712","0.860353192700423","0.367030140575349","2.19352812684083","0.739166617403588"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.30202668470269","0.352046587312951","4.35382583693959","0.674395615785148","1.24248276838085","0.333482052068183","4.20687166110186","0.731873896960926"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","2.09698910683514","0.42629817405986","12.7338243649111","0.384937493854986","2.0857061061247","0.423463245393336","12.7224415945044","0.389091813233455"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.0260063506433519","0.014835620684709","0.0421651536563687","4.35515697565722e-43","0.163021280197095","0.00441906010835732","6.71177149934098","0.329389521354298"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.87385555017831","0.890025204930501","4.32797109777174","0.117433033850964","1.92822123763612","0.912644300017282","4.47933745116449","0.103692126525465"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.02772964090139","0.419509961102785","2.37437402672477","0.950110025358715","0.986188633230056","0.390404740628981","2.3331092557578","0.975380507368357"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.21934503050146","0.325530446529258","5.06066428888352","0.774640075072849","1.28412528249613","0.329606002106331","5.64058143253311","0.726958240928496"
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.0114823924039744","0.00625345407042337","0.018967210485418","3.0145101466676e-57","0.00912266529481107","9.10173210857918e-05","0.932992444726074","0.0445408798373697"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.16246072125591","0.631487055669841","2.15158723232749","0.630045814047713","1.17443939530984","0.637477282912323","2.17180343408222","0.606774934022749"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.798539252380568","0.271061590660991","2.04660494853304","0.654450765204861","0.757986680555789","0.254956852348741","1.96361635593289","0.585332655874867"
"gene:discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.751530307575348","0.272016028134521","2.08968356400566","0.582150120829818","0.730772706533946","0.263209727086581","2.04150578317395","0.547642814556971"
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.0114823924039744","0.00625345407042337","0.018967210485418","3.0145101466676e-57","0.00912266529481107","9.10173210857918e-05","0.932992444726074","0.0445408798373697"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.16246072125591","0.631487055669841","2.15158723232749","0.630045814047713","1.17443939530984","0.637477282912323","2.17180343408222","0.606774934022749"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.798539252380568","0.271061590660991","2.04660494853304","0.654450765204861","0.757986680555789","0.254956852348741","1.96361635593289","0.585332655874867"
"gene:discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.751530307575348","0.272016028134521","2.08968356400566","0.582150120829818","0.730772706533946","0.263209727086581","2.04150578317395","0.547642814556971"
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.0197008537644295","0.0124635543348102","0.0292612664112919","1.25840723038512e-73","0.138114185483464","0.00377218564640872","5.65666306721993","0.286182862048976"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.12842483647411","0.706763032203108","1.80817610591096","0.61386870272774","1.11633490196327","0.693651606474518","1.80561764277585","0.651782106065237"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.967697928456558","0.470047593839394","1.91609159338705","0.926255094033397","0.914821943949735","0.428572920041262","1.86533968480159","0.810383327798144"
