"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.00981082285422299","0.00435771991072696","0.0191129395505208","4.93487672596452e-35"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.919291245562108","0.410428160497989","2.24416231898361","0.844711119988544"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.83179972011354","0.448286592179876","6.30378282091663","0.358549593441691"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.97130976210887","0.363678305522363","14.0276174737252","0.45794600727586"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.00981082285422299","0.00435771991072696","0.0191129395505208","4.93487672596452e-35"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.919291245562108","0.410428160497989","2.24416231898361","0.844711119988544"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.83179972011354","0.448286592179876","6.30378282091663","0.358549593441691"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.97130976210887","0.363678305522363","14.0276174737252","0.45794600727586"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","0.0240136486014385","0.0140298707687619","0.038234919151949","1.43985120724485e-48"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.75069977487086","0.871749278058796","3.81899292123747","0.135151743449204"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.52446758534344","0.563371351616453","3.69257981920512","0.372219901109596"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","2.47349525054442","0.489906903856219","17.0182242184377","0.309797642914552"
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.0108683145005315","0.00609801929782667","0.0176028038091346","6.67106549213979e-64"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.19205158711334","0.666279257417601","2.14086340152804","0.555085922370257"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.08569125704222","0.326222500513508","2.91423563327367","0.879568551164397"
"gene:discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.638372162579266","0.224326086747141","1.85695132191234","0.403945415409152"
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.0108683145005315","0.00609801929782667","0.0176028038091346","6.67106549213979e-64"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.19205158711334","0.666279257417601","2.14086340152804","0.555085922370257"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.08569125704222","0.326222500513508","2.91423563327367","0.879568551164397"
"gene:discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.638372162579266","0.224326086747141","1.85695132191234","0.403945415409152"
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","0.0185587256587407","0.0119473231940515","0.02719689134619","2.03215711550318e-81"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.08889541120465","0.699074136787697","1.70013712716494","0.706994607715698"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.12500371829372","0.48553454429543","2.37787361871019","0.768138232593361"
"gene:discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.61231012936961","0.670532227711028","4.00056047298435","0.293330191497397"
"(Intercept)4","MI_wave6","ELSA","wave 6","MI","3414","752","0.239793138013057","0.136617585458483","0.394632082266642","1.02620228996286e-07"
"gene4","MI_wave6","ELSA","wave 6","MI","3414","752","1.49177554888198","0.855654378680351","2.70824717627016","0.169411868267582"
"discrimination4","MI_wave6","ELSA","wave 6","MI","3414","752","0.740581308746914","0.190028021648563","2.28199698948102","0.625982348996568"
"gene:discrimination4","MI_wave6","ELSA","wave 6","MI","3414","752","0.54620626922389","0.13602511511852","2.08558485179903","0.377205935570223"
"(Intercept)12","MI_wave7","ELSA","wave 7","MI","3414","752","0.354102102997204","0.225551972833858","0.538346825988532","2.59652627152078e-06"
"gene12","MI_wave7","ELSA","wave 7","MI","3414","752","0.852232965020488","0.557869580871147","1.29071466020346","0.451487468285198"
"discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","1.05313816689355","0.216457159554934","3.76480028015671","0.939922063599504"
"gene:discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","9.11225654345284","1.75819275532985","105.007872281188","0.0271654485455127"
"(Intercept)22","MI_wave8","ELSA","wave 8","MI","3414","752","0.547265098884765","0.343444392180351","0.853346920618489","0.00908158973917707"
"gene22","MI_wave8","ELSA","wave 8","MI","3414","752","1.42115105468186","0.841502733257593","2.47239591347559","0.196757795293337"
"discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","0.457562761965757","0.130657401565158","1.30474370561895","0.171459111022662"
"gene:discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","1.03394585232293","0.253424965943554","4.98170289441332","0.963883394435967"
