"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","0.00646165538734757","1.1392636436592e-05","3.08570234029057","0.108763396889351"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","1.0201979522896","0.392934835344038","3.01768459906582","0.9689332900808"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","2.90715827175892e-07","1.085591923997e-36","7.78521747466394e+22","0.993310895992141"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","0.00646165538734757","1.1392636436592e-05","3.08570234029057","0.108763396889351"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","1.0201979522896","0.392934835344038","3.01768459906582","0.9689332900808"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","2.90715827175892e-07","1.085591923997e-36","7.78521747466394e+22","0.993310895992141"
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","0.0253340756703661","0.000258199394310017","2.5285507573637","0.113810564738207"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","2.20573056919614","0.960469331087251","5.74338364821539","0.0807953830809809"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","0.0248859239451546",NA,"3.25393765519067","0.511163426488318"
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","0.00708174346896346","1.21574864934125e-05","3.62495175082326","0.118149530245333"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","1.47672242905269","0.746930255625948","2.96663649447184","0.266929932458327"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","1924","144","2.7683380497656e-07",NA,"2.01860179729769e+36","0.990317633014607"
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","0.00708174346896346","1.21574864934125e-05","3.62495175082326","0.118149530245333"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","1.47672242905269","0.746930255625948","2.96663649447184","0.266929932458327"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","1924","144","2.7683380497656e-07",NA,"2.01860179729769e+36","0.990317633014607"
"NA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","0.0285279538753507","0.000278768987375534","3.0284460139478","0.13026718787704"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","1.67063278285933","0.996695746400462","2.83557604778828","0.0539468260581242"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","1924","144","0.527468541071542","0.0191143308418611","2.72922454596085","0.559748373013698"
"NA21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","MI_w6","ELSA","wave 6","MI","NA","NA","NA","NA","NA","NA"
"(Intercept)4","MI_wave7","ELSA","wave 7","MI","1924","144","4.75629984638527","0.0197991244082678","1419.92265133424","0.579880888699353"
"gene4","MI_wave7","ELSA","wave 7","MI","1924","144","0.931700096660995","0.54607606887442","1.59563816464393","0.793229035263186"
"discrimination4","MI_wave7","ELSA","wave 7","MI","1924","144","1.25876683793099","0.0529327262101518","17.7798911560905","0.860936827589531"
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)12","MI_wave8","ELSA","wave 8","MI","1924","144","0.046747095325283","4.96897270777579e-05","35.7438892847381","0.36619832326816"
"gene12","MI_wave8","ELSA","wave 8","MI","1924","144","1.44108043571976","0.682234599129782","3.12875793302964","0.33849130232098"
"discrimination12","MI_wave8","ELSA","wave 8","MI","1924","144","15.0149692191564","1.25043700201624",NA,"0.115331235803753"
"NA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Pain_w6","ELSA","wave 6","Pain","NA","NA","NA","NA","NA","NA"
"(Intercept)5","Pain_wave7","ELSA","wave 7","Pain","1924","144","584.042722560569","0.000161993641139524","10294245247.0393","0.394773484994044"
"gene5","Pain_wave7","ELSA","wave 7","Pain","1924","144","3.40205281594042","0.756369074268427","19.2543905846203","0.12082327202516"
"discrimination5","Pain_wave7","ELSA","wave 7","Pain","1924","144","1785712.75186517","1.54850602620421e-254",NA,"0.996745371258025"
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)13","Pain_wave8","ELSA","wave 8","Pain","1924","144","6602.20345533084","0.0380938323961399","3682142538.19268","0.150039641305428"
"gene13","Pain_wave8","ELSA","wave 8","Pain","1924","144","0.302303191598368","0.0796711572585967","0.991459075701029","0.0535880327530101"
"discrimination13","Pain_wave8","ELSA","wave 8","Pain","1924","144","3819857.91695413","2.24019945281502e-198",NA,"0.996399566524423"
"NA13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","1924","144","0.208761664574758","0.00213353651957781","21.7498873262613","0.502199228938553"
"gene6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","1924","144","0.854516790186617","0.53674723134007","1.35944839061433","0.506265973909028"
"discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","1924","144","0.0259089516918881","2.11463457549672e-07","1.41307088523002","0.287973957386552"
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","1924","144","0.00169460700002173","7.12810215811004e-06","0.293192883509545","0.0174722110090847"
"gene14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","1924","144","0.783655061752841","0.453511685578637","1.35029687296666","0.379197915703578"
"discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","1924","144","2.0035070208004","0.128274954539469","9.63317961852352","0.478421986980235"
"NA14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)22","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","1924","144","0.0230423897248622","0.000284627136487948","1.73765484115606","0.087731152330686"
"gene22","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","1924","144","1.0718325954065","0.689634025450132","1.66298303095256","0.756896223114116"
"discrimination22","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","1924","144","0.553262116551732","0.0222226328621264","2.90761904777005","0.584427328989755"
"NA22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","1924","144","1.05672480716423","0.0537463443960543","21.5292575899657","0.971111513774771"
"gene7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","1924","144","1.09072397061856","0.838640827353004","1.42602579402496","0.519745365847196"
"discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","1924","144","0.448597587380256","0.0581316319321878","1.68138010406025","0.323799860317477"
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","sleep_disturbance_w7","ELSA","wave 7","sleep_disturbance","NA","NA","NA","NA","NA","NA"
"(Intercept)15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","1924","144","0.30756759997523","0.0151806533742008","6.17174634071078","0.440284661927388"
"gene15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","1924","144","0.859505534868814","0.643710738180287","1.14224010241151","0.298794446492909"
"discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","1924","144","0.482046541051119","0.129301196983804","1.36723102561248","0.210751962927962"
