"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","diabetes_new","HRS","wave 6","T2DM",4961,488,0.0146841475350129,0.00688240343095202,0.0265415147790823,1.10970210320144e-35
"gene","diabetes_new","HRS","wave 6","T2DM",4961,488,0.620589002041096,0.304221073360461,1.19844254676718,0.175774192694289
"discrimination","diabetes_new","HRS","wave 6","T2DM",4961,488,1.02714254448811,0.358732368791792,2.82473056481793,0.958417484139213
"gene:discrimination","diabetes_new","HRS","wave 6","T2DM",4961,488,2.53265325764487,1.04027952855626,6.14504996881412,0.0396670557217458
"(Intercept)1","diabetes_new","HRS","wave 7","T2DM",4961,488,0.0332195427641114,0.0209862770736822,0.0496030643161213,7.55159698212508e-55
"gene1","diabetes_new","HRS","wave 7","T2DM",4961,488,0.918398085771285,0.574857308256085,1.41560046509772,0.711469980248192
"discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,488,0.741251327497143,0.334998170983128,1.5215585514525,0.43102773694062
"gene:discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,488,0.699782535899477,0.320221684887326,1.48417069473873,0.361588849592776
"(Intercept)2","diabetes_new","HRS","wave 8","T2DM",4961,488,0.0194614208905831,0.0106513157279839,0.032247832060709,7.13422633763736e-45
"gene2","diabetes_new","HRS","wave 8","T2DM",4961,488,1.00044475022025,0.549671688527336,1.71414635613431,0.998779054969153
"discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,488,0.627019594998477,0.214150028878988,1.61255062595422,0.354182260601642
"gene:discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,488,1.25977720358319,0.487234159408774,3.03845532376261,0.617924410547307
"(Intercept)3","checklist_depression_bin","HRS","wave 6","Depression",4961,488,0.121539155506172,0.0945447480170916,0.153844547965621,9.17471910116607e-65
"gene3","checklist_depression_bin","HRS","wave 6","Depression",4961,488,1.13285536959362,0.87825817755532,1.46494753633352,0.338497488965918
"discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,488,0.65529156544076,0.419446886080819,0.999642846684391,0.0553847633941131
"gene:discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,488,1.47348316550884,0.977350071513449,2.23338746347651,0.0655269988751912
"(Intercept)11","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.0977999493997903,0.074249288790588,0.126351549771201,4.25674528829235e-66
"gene11","checklist_depression_bin","HRS","wave 7","Depression",4961,488,1.04434611240702,0.79108644996724,1.38130605234896,0.759895763178959
"discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.942224430819317,0.617906993714604,1.42362184034697,0.779242562960071
"gene:discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.889155153364385,0.584754288946123,1.34856787425463,0.581147766079728
"(Intercept)21","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.100854807106851,0.0763280044012711,0.130518097380808,2.44778681595516e-63
"gene21","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.802698984219995,0.611131991764783,1.05275563259656,0.11255408093396
"discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.923305178331019,0.601780084106544,1.40215210856562,0.710610070018638
"gene:discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,488,1.60109244904235,1.06138381221223,2.42162821116741,0.0251246172201486
"(Intercept)4","checklist_depression_bin","HRS","wave 6","Depression",4961,488,0.115206317124974,0.088465169726994,0.147242502621169,2.45166532863445e-62
"gene4","checklist_depression_bin","HRS","wave 6","Depression",4961,488,1.4943330740454,1.16693151429977,1.92493853881461,0.00162145758020217
"discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,488,0.689762483572771,0.438654619297115,1.06113167618166,0.0978428808078479
"gene:discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,488,1.17517873778215,0.776472142811121,1.78879916526168,0.447474669113632
"(Intercept)12","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.095834747127687,0.0723751343936837,0.124279213506469,4.22381169268324e-65
"gene12","checklist_depression_bin","HRS","wave 7","Depression",4961,488,1.2849269486857,0.984257811598427,1.68396673076307,0.0667325998253391
"discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.950736246144291,0.619921997433172,1.44460093302711,0.814345216245695
"gene:discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,488,0.95472964157174,0.630527438403591,1.44723060508604,0.82681840286299
"(Intercept)22","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.104183082618664,0.0795674726113875,0.133929718373178,3.20147516699234e-65
"gene22","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.974694406962825,0.751898670377018,1.26319574165123,0.846169751290918
"discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,488,0.922510122756126,0.608934679049175,1.38481651920438,0.699596533311094
"gene:discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,488,1.06820033821096,0.712601031762163,1.60364401384362,0.749649356274577
