"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","diabetes_new","HRS","wave 6","T2DM",4961,873,0.0144116809333334,0.00912883605513943,0.0214346814772765,2.6094672812202e-85
"gene","diabetes_new","HRS","wave 6","T2DM",4961,873,1.19291899842949,0.780529383762865,1.75421776098538,0.39301658672064
"discrimination","diabetes_new","HRS","wave 6","T2DM",4961,873,1.46337828612816,0.76990152386823,2.74942466315771,0.237179326634273
"gene:discrimination","diabetes_new","HRS","wave 6","T2DM",4961,873,0.782603744158275,0.418979260508692,1.44961236206601,0.438253654041773
"(Intercept)1","diabetes_new","HRS","wave 7","T2DM",4961,873,0.0130951448831294,0.0081033902609673,0.0198196105085351,2.02466229482341e-81
"gene1","diabetes_new","HRS","wave 7","T2DM",4961,873,1.18503935142863,0.758248212264553,1.77476246708019,0.433827240962726
"discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,873,2.37077664032982,1.30221437534823,4.36114375910514,0.00476564683615136
"gene:discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,873,0.555660534086323,0.308416328417508,1.01165704521935,0.0522535383946507
"(Intercept)2","diabetes_new","HRS","wave 8","T2DM",4961,873,0.0205575203538544,0.0140810190578462,0.0288051705700268,3.71354448978348e-101
"gene2","diabetes_new","HRS","wave 8","T2DM",4961,873,0.964759585057347,0.659285119628347,1.37352766716764,0.848249374836295
"discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,873,1.01613690797713,0.551783741004585,1.81376531807665,0.957634167083843
"gene:discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,873,1.15810926095466,0.645906402309667,2.04563317834386,0.617066739367765
"(Intercept)3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.0553668590635469,0.0438019546122176,0.0689114191244691,1.06405759492782e-138
"gene3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.18444680089183,0.948736187310866,1.47678732951564,0.133412274409737
"discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,2.14647816508545,1.56983641375024,2.94090312584462,1.77150354184417e-06
"gene:discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.9970728543733,0.730140877132184,1.36434728647138,0.985327797864931
"(Intercept)11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.0515380166795823,0.040492478303933,0.0645298454827989,9.50635154461643e-138
"gene11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.987105979703748,0.783003294366511,1.24146470328454,0.912059252678569
"discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,2.25342382517664,1.63935038706988,3.10629316527582,5.98692033528262e-07
"gene:discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,1.02487047084035,0.74483277461886,1.41272244651532,0.880360872903249
"(Intercept)21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.0650413951997404,0.0523160984469639,0.0798134455640548,3.19121632043417e-142
"gene21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.08962975544361,0.883892500860909,1.34124086478819,0.419441233791207
"discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.54442303249297,1.12605252874302,2.11340699356425,0.00671458724059583
"gene:discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.965966724982773,0.704898555549079,1.32588712638153,0.829798921563081
"(Intercept)4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.0552527136781372,0.0436907986490529,0.0687937311839182,2.09936437220615e-138
"gene4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.2140835111083,0.960494603593997,1.53676710083409,0.105415443573943
"discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,2.08756501098676,1.51899009875348,2.8717162539878,5.66037266841372e-06
"gene:discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.15109056305542,0.839969743530148,1.57905887023022,0.381953589973773
"(Intercept)12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.0513949307224705,0.0403449392753406,0.0643924310422063,3.7581561210651e-137
"gene12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,1.20129607212757,0.943770490918961,1.53105432881387,0.137006958130537
"discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,2.25998270879988,1.64324176303964,3.1174749823111,5.72585354768019e-07
"gene:discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.88185909474089,0.640653217317662,1.21361714547159,0.440242079406719
"(Intercept)22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.0650464382492421,0.0523225574263678,0.0798167946325455,2.87763314071009e-142
"gene22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.05375547256632,0.846875915684752,1.31195075941842,0.638917174380395
"discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.54598582930138,1.12734804399247,2.11530448005919,0.00656669720870841
"gene:discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.988091756391902,0.723191808892074,1.35036756738285,0.940026589924959
