"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.00917474522047984","9.45167842609874e-05","0.900281204609431","0.0430798560363167"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.92006159097383","0.409164902168058","2.2561612836621","0.846972234801769"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.76039298510827","0.429540759117511","6.09654631373925","0.392923661062147"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.95304585940706","0.359982452439053","13.942762348359","0.464694707872968"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.00917474522047984","9.45167842609874e-05","0.900281204609431","0.0430798560363167"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.92006159097383","0.409164902168058","2.2561612836621","0.846972234801769"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.76039298510827","0.429540759117511","6.09654631373925","0.392923661062147"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.95304585940706","0.359982452439053","13.942762348359","0.464694707872968"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","0.159862461715486","0.00429897910066938","6.63420991400257","0.325041753324748"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.80434118559491","0.89515430547022","3.95882950937069","0.117705357650979"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.63451912836769","0.602158279271839","3.98227961167648","0.300679659410628"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","2.4749045286872","0.493433446388205","16.7319491689079","0.305808416964342"
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.00965581259053139","9.99205946562248e-05","0.946325439056075","0.0452106755474425"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.19971829277192","0.670196418048963","2.15248628995318","0.540444426544808"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","1.03679878114016","0.309369100915295","2.80315274399693","0.947261426720191"
"gene:discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","752","0.616639260191439","0.214659119149993","1.81340240703881","0.373179601720123"
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.00965581259053139","9.99205946562248e-05","0.946325439056075","0.0452106755474425"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.19971829277192","0.670196418048963","2.15248628995318","0.540444426544808"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","1.03679878114016","0.309369100915295","2.80315274399693","0.947261426720191"
"gene:discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","752","0.616639260191439","0.214659119149993","1.81340240703881","0.373179601720123"
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","0.137746138089945","0.00372917274306189","5.67909802221153","0.286413425015173"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.08359602221869","0.690093939044259","1.70780788548285","0.728173365563161"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.21237343440976","0.520214203073238","2.58481480684475","0.632920621612764"
"gene:discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","752","1.67565102173079","0.692118588970239","4.19490535192245","0.260305351222425"
"(Intercept)4","MI_wave6","ELSA","wave 6","MI","3414","752","8.46736249466625","0.0443013092214137","2257.17902238179","0.434847020456719"
"gene4","MI_wave6","ELSA","wave 6","MI","3414","752","1.50778222890957","0.853397764172132","2.76875365029878","0.167198354143596"
"discrimination4","MI_wave6","ELSA","wave 6","MI","3414","752","0.668178497542385","0.160182796120107","2.21196587453953","0.536882437501702"
"gene:discrimination4","MI_wave6","ELSA","wave 6","MI","3414","752","0.658645849363506","0.140538525817365","2.79981106461685","0.582282749626722"
"(Intercept)12","MI_wave7","ELSA","wave 7","MI","3414","752","15.5101567648613","0.222220385591655","1365.31824814503","0.214805855610672"
"gene12","MI_wave7","ELSA","wave 7","MI","3414","752","0.832563562373662","0.538885505167683","1.27348315575537","0.399717522087237"
"discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","0.962304422006213","0.192126416123504","3.52136608843537","0.956268290264765"
"gene:discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","11.2915680558863","1.92678951121684","140.967191807404","0.0206095385965325"
"(Intercept)22","MI_wave8","ELSA","wave 8","MI","3414","752","0.42106139855662","0.00623322642134753","29.5374101897657","0.686354976091505"
"gene22","MI_wave8","ELSA","wave 8","MI","3414","752","1.39054073483904","0.806085794308296","2.45569029093263","0.241331754169796"
"discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","0.463533745679319","0.12918346133126","1.36852467457431","0.190409481084635"
"gene:discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","1.13555423346183","0.279081346783984","5.41520190229422","0.862554593165291"
"1","Pain_w6","ELSA","wave 6","Pain","NA","NA","NA","NA","NA","NA"
"(Intercept)5","Pain_wave7","ELSA","wave 7","Pain","3414","752","1386.44544560481","0.000334245912537679","56008690713.878","0.347315388131036"
"gene5","Pain_wave7","ELSA","wave 7","Pain","3414","752","3.71939619947631","0.794500218066752","24.3622701041205","0.11296996396673"
"discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","752","22412015.1597344","0",NA,"0.997443274522329"
"gene:discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","752","0.260192306088136","1.12468637554322e-208","1.60204978882681e+195","0.999818962849374"
"(Intercept)13","Pain_wave8","ELSA","wave 8","Pain","3414","752","433.88183749575","0.00815054472485845","19101888.8643874","0.249974496205097"
"gene13","Pain_wave8","ELSA","wave 8","Pain","3414","752","0.329555754049199","0.111204737931033","0.913922940178684","0.0342031669842594"
"discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","752","11193927.1474925","2.80240674000427e-104",NA,"0.993740417424832"
"gene:discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","752","2.99931250347787","1.1704588505309e-56","7.68576826894682e+56","0.999578927260795"
"(Intercept)6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.181533355790361","0.00686377196810235","5.02278568126351","0.308458839741845"
"gene6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.877391354855297","0.62413452112284","1.23437068529331","0.451561335259215"
"discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.603744465734489","0.228682555429619","1.33531097990979","0.252340061195064"
"gene:discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.863624212655469","0.364331596831431","2.00959389123328","0.734907911492926"
"(Intercept)14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.0157786322739373","0.000328361707632173","0.714950845168301","0.0333759410627393"
"gene14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.878052068403196","0.569422813882105","1.34720632589769","0.553000517335116"
"discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.659450236931259","0.239968311099366","1.54643693221432","0.372512441387648"
"gene:discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","1.43964395591628","0.549189681968776","3.96332378803571","0.469381876550601"
"(Intercept)23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.0134662675243114","0.000533830552755362","0.326252676495817","0.00823390868198098"
"gene23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.958879711983125","0.668168147257862","1.3712268263147","0.81864561620994"
