"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.00820295370461093","8.031522422049e-05","0.851878217583506","0.0407212747403612"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.860353192700423","0.367030140575349","2.19352812684083","0.739166617403588"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.24248276838085","0.333482052068183","4.20687166110186","0.731873896960926"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","2.0857061061247","0.423463245393336","12.7224415945044","0.389091813233455"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.00820295370461093","8.031522422049e-05","0.851878217583506","0.0407212747403612"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.860353192700423","0.367030140575349","2.19352812684083","0.739166617403588"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.24248276838085","0.333482052068183","4.20687166110186","0.731873896960926"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","2.0857061061247","0.423463245393336","12.7224415945044","0.389091813233455"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.163021280197095","0.00441906010835732","6.71177149934098","0.329389521354298"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.92822123763612","0.912644300017282","4.47933745116449","0.103692126525465"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.986188633230056","0.390404740628981","2.3331092557578","0.975380507368357"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.28412528249613","0.329606002106331","5.64058143253311","0.726958240928496"
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.00912266529481107","9.10173210857918e-05","0.932992444726074","0.0445408798373697"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.17443939530984","0.637477282912323","2.17180343408222","0.606774934022749"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.757986680555789","0.254956852348741","1.96361635593289","0.585332655874867"
"gene:discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.730772706533946","0.263209727086581","2.04150578317395","0.547642814556971"
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.00912266529481107","9.10173210857918e-05","0.932992444726074","0.0445408798373697"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.17443939530984","0.637477282912323","2.17180343408222","0.606774934022749"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.757986680555789","0.254956852348741","1.96361635593289","0.585332655874867"
"gene:discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.730772706533946","0.263209727086581","2.04150578317395","0.547642814556971"
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.138114185483464","0.00377218564640872","5.65666306721993","0.286182862048976"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.11633490196327","0.693651606474518","1.80561764277585","0.651782106065237"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.914821943949735","0.428572920041262","1.86533968480159","0.810383327798144"
"gene:discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.57664610482039","0.706665354136028","3.56384729213745","0.269446495161072"
"(Intercept)4","MI_wave6","ELSA","wave 6","MI","3414","1200","10.909291757172","0.0571849623828995","3187.26562540104","0.386517348105969"
"gene4","MI_wave6","ELSA","wave 6","MI","3414","1200","1.71915884093348","0.856875400208965","3.71574263086242","0.143095407971457"
"discrimination4","MI_wave6","ELSA","wave 6","MI","3414","1200","0.777744542800077","0.282721794500581","2.05147066285955","0.615084565446602"
"gene:discrimination4","MI_wave6","ELSA","wave 6","MI","3414","1200","0.684914024085556","0.23152460190686","1.95303708526194","0.482661526848393"
"(Intercept)12","MI_wave7","ELSA","wave 7","MI","3414","1200","8.5646525686244","0.134730428885085","643.267790516411","0.317185058403472"
"gene12","MI_wave7","ELSA","wave 7","MI","3414","1200","0.775952663472208","0.487286572478795","1.21449004654511","0.271857542119441"
"discrimination12","MI_wave7","ELSA","wave 7","MI","3414","1200","1.40536768832488","0.561420469448797","3.43858624475861","0.458055228947971"
"gene:discrimination12","MI_wave7","ELSA","wave 7","MI","3414","1200","2.99881051363848","1.12581868555458","9.2430165734673","0.03826847894393"
"(Intercept)22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.57974298567435","0.010161806920524","35.1534079231381","0.791536746143305"
"gene22","MI_wave8","ELSA","wave 8","MI","3414","1200","1.48100646991915","0.838295858349669","2.6946029391912","0.182671091347823"
"discrimination22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.691194797638537","0.274365156674336","1.66131376446958","0.417834878777717"
"gene:discrimination22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.665846774353724","0.22170302899507","1.98529695903593","0.460980400819624"
"1","Pain_w6","ELSA","wave 6","Pain","NA","NA","NA","NA","NA","NA"
"(Intercept)5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","6384.32408924504","0.000695972125108842","544829512687.723","0.277504395479133"
"gene5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","6.13467596952687","0.660503974341044","138.489833531037","0.14276429425839"
"discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","0.167361094554436","0.000197430347912556","21.8011737731956","0.459486188691703"
"gene:discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","0.333726382303826","0.00870440904080466","7.37181600586606","0.49551886191349"
"(Intercept)13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","310.790494372434","0.00397400587655426","18600201.0118803","0.293183156570709"
"gene13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","0.297099090914175","0.0784983767877596","0.982805444147344","0.0512505900630095"
"discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","1.36999147141717","0.083030119202389","86.0859191485274","0.832406549281372"
"gene:discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","1.51537329583592","0.118113719658467","16.3196147638804","0.729458792152425"
"(Intercept)6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.258069795781035","0.00907960482239834","7.72658862061197","0.429353134573995"
"gene6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.796162714965785","0.559104430202222","1.13636880258375","0.206762820499356"
"discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.477880763715725","0.210439283006332","0.982554030920374","0.057275451898277"
"gene:discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","1.38304508671088","0.652130254469172","2.86962723226073","0.389161021580042"
"(Intercept)14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","0.0277991083130418","0.000717144878325926","1.08406152773628","0.0539340239052242"
"gene14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","0.892614207583977","0.561554976575196","1.41135751635823","0.628054772597976"
"discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","1.09884052274183","0.53098247044317","2.20876715411419","0.793741033091601"
"gene:discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","1.46531677057538","0.690033978965952","3.16425590102272","0.324711726963963"
"(Intercept)23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.014039676353772","0.000558142605857787","0.343120219234975","0.00894062936807666"
"gene23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.996358626948885","0.680370838614757","1.45504393379068","0.98496553558381"
"discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.613703931685325","0.301236167237384","1.17787636589503","0.156589686956109"
"gene:discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.897067725765262","0.445619308575611","1.7891751813693","0.758863826292822"
"(Intercept)7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.256502318072618","0.0303311516754001","2.17423073651983","0.211084596313794"
"gene7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.955131144942537","0.75790173412138","1.2042181535283","0.696649653100239"
"discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.83912902811107","0.541825960567546","1.28635183336017","0.425638890336964"
"gene:discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","1.31291715077128","0.861996106232313","2.01770554874804","0.208129680509443"
"5","sleep_disturbance_w7","ELSA","wave 7","sleep_disturbance","NA","NA","NA","NA","NA","NA"
"(Intercept)15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","0.167421279089009","0.0197816823969495","1.40124347669377","0.099523937802776"
"gene15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","0.918789419704344","0.718480618876274","1.17260743848213","0.496545647209749"
"discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","1.202291343354","0.798409620720231","1.80546091711788","0.375434036315401"
"gene:discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","1.15809154866977","0.768331863623143","1.75273750035691","0.484381401137517"
"(Intercept)8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.255891135917308","0.0593025920614812","1.11226388107115","0.0681452038836783"
"gene8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","1.0681693830005","0.903022010192308","1.26486370711587","0.442591691351148"
"discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.800378121946998","0.593366148943586","1.07132081599476","0.139055590892491"
"gene:discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.984633925581341","0.734367146628019","1.32427881531577","0.917936630607832"
"(Intercept)16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.0885200482551175","0.0185028771350107","0.424138672552629","0.0023886183195068"
"gene16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","1.01664059862422","0.844467712933728","1.22525394092794","0.861875502029886"
"discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.934476209263276","0.681645604123253","1.27172706983121","0.669663228678751"
"gene:discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.860678887524423","0.633063856992118","1.17203656331067","0.339240542161097"
"(Intercept)24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.049585048288974","0.011456556791286","0.213801811081064","5.64666490637634e-05"
