"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.00999549929954786","0.00421862273390096","0.0201996439547877","3.37524701398877e-31"
"gene","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.862531977342991","0.370712333652131","2.18392966244917","0.741395336116712"
"discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.30202668470269","0.352046587312951","4.35382583693959","0.674395615785148"
"gene:discrimination","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","2.09698910683514","0.42629817405986","12.7338243649111","0.384937493854986"
"(Intercept)1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.00999549929954786","0.00421862273390096","0.0201996439547877","3.37524701398877e-31"
"gene1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.862531977342991","0.370712333652131","2.18392966244917","0.741395336116712"
"discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.30202668470269","0.352046587312951","4.35382583693959","0.674395615785148"
"gene:discrimination1","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","2.09698910683514","0.42629817405986","12.7338243649111","0.384937493854986"
"(Intercept)2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.0260063506433519","0.014835620684709","0.0421651536563687","4.35515697565722e-43"
"gene2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.87385555017831","0.890025204930501","4.32797109777174","0.117433033850964"
"discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.02772964090139","0.419509961102785","2.37437402672477","0.950110025358715"
"gene:discrimination2","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.21934503050146","0.325530446529258","5.06066428888352","0.774640075072849"
"(Intercept)3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.0114823924039744","0.00625345407042337","0.018967210485418","3.0145101466676e-57"
"gene3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","1.16246072125591","0.631487055669841","2.15158723232749","0.630045814047713"
"discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.798539252380568","0.271061590660991","2.04660494853304","0.654450765204861"
"gene:discrimination3","w6diabetes_new","ELSA","wave 6","T2DM","3414","1200","0.751530307575348","0.272016028134521","2.08968356400566","0.582150120829818"
"(Intercept)11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.0114823924039744","0.00625345407042337","0.018967210485418","3.0145101466676e-57"
"gene11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","1.16246072125591","0.631487055669841","2.15158723232749","0.630045814047713"
"discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.798539252380568","0.271061590660991","2.04660494853304","0.654450765204861"
"gene:discrimination11","w7diabetes_new","ELSA","wave 7","T2DM","3414","1200","0.751530307575348","0.272016028134521","2.08968356400566","0.582150120829818"
"(Intercept)21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.0197008537644295","0.0124635543348102","0.0292612664112919","1.25840723038512e-73"
"gene21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.12842483647411","0.706763032203108","1.80817610591096","0.61386870272774"
"discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","0.967697928456558","0.470047593839394","1.91609159338705","0.926255094033397"
"gene:discrimination21","w8diabetes_new","ELSA","wave 8","T2DM","3414","1200","1.43004918747975","0.660852180233231","3.12940623182745","0.36663766249574"
"(Intercept)4","MI_wave6","ELSA","wave 6","MI","3414","1200","0.221602032128038","0.115661637237435","0.388064117701459","7.87749098204088e-07"
"gene4","MI_wave6","ELSA","wave 6","MI","3414","1200","1.7036506238785","0.872715454987565","3.58948836654849","0.135404192182881"
"discrimination4","MI_wave6","ELSA","wave 6","MI","3414","1200","0.96517428821094","0.368116253020532","2.45233237212003","0.940881544720329"
"gene:discrimination4","MI_wave6","ELSA","wave 6","MI","3414","1200","0.630108213658899","0.218953949681951","1.73776541674598","0.378131066125513"
"(Intercept)12","MI_wave7","ELSA","wave 7","MI","3414","1200","0.325564520919734","0.198110504093879","0.512405685436486","3.1826161189199e-06"
"gene12","MI_wave7","ELSA","wave 7","MI","3414","1200","0.7764975820215","0.49205387988074","1.20393435811452","0.263637801172774"
"discrimination12","MI_wave7","ELSA","wave 7","MI","3414","1200","1.66640854230663","0.685505669073083","3.97128813729593","0.250380726268752"
"gene:discrimination12","MI_wave7","ELSA","wave 7","MI","3414","1200","3.0714781244256","1.20858073845008","9.11000899975584","0.0270993393188432"
"(Intercept)22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.528933613079808","0.323030613054531","0.843949640980814","0.00894394889048357"
"gene22","MI_wave8","ELSA","wave 8","MI","3414","1200","1.50432854083355","0.869402586610134","2.69515410814578","0.152860837024973"
"discrimination22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.699985424301937","0.284377232997424","1.63898149167492","0.421039983282154"
"gene:discrimination22","MI_wave8","ELSA","wave 8","MI","3414","1200","0.619739582760388","0.208375629155955","1.82878014999774","0.381137980481027"
"1","Pain_w6","ELSA","wave 6","Pain","NA","NA","NA","NA","NA","NA"
"(Intercept)5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","1821.08196528578","154.470076769754","1008408.91312428","0.000156010678633471"
"gene5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","5.61251524791847","0.658369631574682","97.7630993368395","0.141207336337287"
"discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","0.211426998549051","0.000291165706153254","25.0190626494546","0.508640017315688"
"gene:discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","1200","0.359049089526257","0.0116737505979447","7.12743704719154","0.51093435266253"
"(Intercept)13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","260.098944877584","74.6494860743338","2232.33916546029","1.15935946697603e-11"
"gene13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","0.310988583359958","0.0839647573782221","1.01467367000514","0.0576295111125989"
"discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","1.48050358567215","0.0919594410417391","94.7383098045179","0.791141788704613"
"gene:discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","1200","1.45096347468438","0.110938177941937","15.638894787219","0.757703185543238"
"(Intercept)6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.0652262167987887","0.0446959085758366","0.0915105101103891","8.12031215430149e-51"
"gene6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.803704824934708","0.564368321239474","1.14722171920499","0.22633414187572"
"discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","0.499270966648081","0.221066772230337","1.01960467693787","0.0713352283647146"
"gene:discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","1200","1.38080579482349","0.649398818834372","2.87803459026092","0.393851543706161"
"(Intercept)14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","0.0442081669896021","0.0276010270908689","0.0667072142500542","4.26330519851469e-44"
"gene14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","0.907648563135696","0.571688369822656","1.43494171775333","0.679152683483514"
"discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","1.16769681967209","0.570321832826324","2.32059947563446","0.662095990779953"
"gene:discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","1200","1.42375896447474","0.671964449409625","3.07407785771256","0.361748964451805"
"(Intercept)23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.0707044376760771","0.0482863297078641","0.0996387058957757","6.19476037495559e-47"
"gene23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","1.00808688405634","0.689210947520213","1.46988262662709","0.966693506109161"
"discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.632371580883276","0.312193007063083","1.20569114229078","0.179459268935093"
"gene:discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","1200","0.881698217740838","0.440604585976568","1.75026088276287","0.71977775367182"
"(Intercept)7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.404022003236047","0.31596705816635","0.512339065704859","1.84516211694234e-13"
"gene7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.987763123548681","0.786032998441355","1.24263647522629","0.915821281411155"
"discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","0.839083867914322","0.546356898804202","1.27490914617379","0.416126243413751"
"gene:discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","1200","1.27688272943363","0.840827946474384","1.95586174538417","0.254931848796428"
"5","sleep_disturbance_w7","ELSA","wave 7","sleep_disturbance","NA","NA","NA","NA","NA","NA"
"(Intercept)15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","0.376022514068941","0.291455671802414","0.480459053182067","1.57090936044559e-14"
"gene15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","0.903129249683193","0.709143615728536","1.14765794990805","0.405262199716073"
"discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","1.15277905165917","0.775045709345442","1.70845791425388","0.480161131397868"
"gene:discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","1200","1.18163672935842","0.786776440122832","1.78211068023315","0.422524692079761"
"(Intercept)8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.158962924610517","0.134384637652284","0.186800639711097","2.35153929029646e-106"
"gene8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","1.06036981407864","0.898162671547663","1.25314673595994","0.489881528831537"
"discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.813844392507429","0.608505915683516","1.08045022229282","0.159063474534346"
"gene:discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.96332709479384","0.721855861720752","1.28899041818051","0.800425621848974"
"(Intercept)16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.125356212387402","0.10422004611128","0.149511863605832","7.50874748450517e-113"
"gene16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.995028094267355","0.828419802737848","1.19622941328143","0.957547392784343"
"discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.937051308795456","0.688511065913556","1.26595358714225","0.67513460086398"
"gene:discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.864092534285849","0.638117904747082","1.17171231304914","0.345637419765742"
"(Intercept)24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.135551740285154","0.113583797497526","0.160543193622047","1.21562514217138e-113"
"gene24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.966880032500841","0.81195630490456","1.15192666904893","0.705550612056094"
"discrimination24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","1.07734080363489","0.809047642463294","1.42723605920989","0.606500474624288"
