"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"(Intercept)","diabetes_new","HRS","wave 6","T2DM",4961,873,0.0114547343856809,0.000782991166267362,0.161013054863384,0.000972379088588425
"gene","diabetes_new","HRS","wave 6","T2DM",4961,873,1.19845789847981,0.782524399403141,1.76593163279003,0.383146611927414
"discrimination","diabetes_new","HRS","wave 6","T2DM",4961,873,1.4683406378308,0.765731323733494,2.78373009041823,0.239749832125802
"gene:discrimination","diabetes_new","HRS","wave 6","T2DM",4961,873,0.777894983084636,0.41521111092867,1.44468193765919,0.429112485156099
"(Intercept)1","diabetes_new","HRS","wave 7","T2DM",4961,873,0.020369077035515,0.00178166443263817,0.228907861773867,0.00162636054862413
"gene1","diabetes_new","HRS","wave 7","T2DM",4961,873,1.19702337582176,0.76385248870334,1.79583177694664,0.409593586234918
"discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,873,2.3839871133586,1.29783255217493,4.42144672360737,0.00510850082599505
"gene:discrimination1","diabetes_new","HRS","wave 7","T2DM",4961,873,0.541818974178585,0.298450617691521,0.992335719256292,0.045304827807507
"(Intercept)2","diabetes_new","HRS","wave 8","T2DM",4961,873,0.0129891898904225,0.00110129971747631,0.147716790383675,0.000494857709981185
"gene2","diabetes_new","HRS","wave 8","T2DM",4961,873,0.955747103969711,0.653890353951496,1.35968455606754,0.808689705666596
"discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,873,0.995939444872047,0.536271640838553,1.79395286811901,0.989387903431533
"gene:discrimination2","diabetes_new","HRS","wave 8","T2DM",4961,873,1.17698959591652,0.656790923032598,2.08294082073121,0.579378269008564
"(Intercept)3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.112262238691323,0.0299930927633927,0.418508912736022,0.00113346105715809
"gene3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.19571714145786,0.957227497667555,1.49204848965436,0.114154382455651
"discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,2.11141526827429,1.53623897664909,2.90765160560137,4.24266451851853e-06
"gene:discrimination3","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.993313481496079,0.726263247692861,1.36110188032783,0.966586577546026
"(Intercept)11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.0961971018273897,0.0247519174141378,0.372266519865115,0.000702369061934663
"gene11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.992458584034231,0.786842410376145,1.24909571291118,0.94877571854713
"discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,2.18310950566362,1.58049017550534,3.02365863568006,2.29698549924088e-06
"gene:discrimination11","checklist_depression_bin","HRS","wave 7","Depression",4961,873,1.02165620734596,0.74180222965322,1.40940654981795,0.895846978327466
"(Intercept)21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.0484724874586781,0.0127237342363992,0.182657189804147,8.30560330906932e-06
"gene21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.09328847614154,0.887203746470641,1.34527310898735,0.40066276752324
"discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.57851276483142,1.14574003147807,2.1701379969443,0.00501836142158212
"gene:discrimination21","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.96523864711621,0.704258909007583,1.32502954480819,0.826219720630283
"(Intercept)4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,0.116786364026033,0.030951448150302,0.438719419807138,0.00148611124167567
"gene4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.21291965818793,0.961182971481983,1.53344093857718,0.10499259981897
"discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,2.05172222243028,1.48537833244589,2.83654648798026,1.28597182259027e-05
"gene:discrimination4","checklist_depression_bin","HRS","wave 6","Depression",4961,873,1.15840935372239,0.845351670998017,1.5890174451572,0.360800001811718
"(Intercept)12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.095471030791181,0.0244899947141388,0.370499686563256,0.00069315988409524
"gene12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,1.19339542995788,0.939131511686385,1.51887438680356,0.149139099867358
"discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,2.19218844620545,1.58638677162241,3.03796808290305,2.10232563689945e-06
"gene:discrimination12","checklist_depression_bin","HRS","wave 7","Depression",4961,873,0.891717315296596,0.648171967929696,1.22650640374758,0.480974539908559
"(Intercept)22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.048200597132782,0.0126328426442923,0.181891714644377,8.17873617648343e-06
"gene22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.06021373237218,0.852512808260527,1.31949397439693,0.599528150598219
"discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,1.58005133617159,1.14711978090596,2.1718027320825,0.00489675521948568
"gene:discrimination22","checklist_depression_bin","HRS","wave 8","Depression",4961,873,0.978657580408788,0.716818804325007,1.33649851531472,0.891969211167854
