"","est","L95%","U95%","se"
"shape",2.76977289340136,2.38749530909668,3.21325945721901,0.209885517843694
"rate",0.152244438259817,0.107596088563272,0.215420182002407,0.026961981892453
"PGS",0.109276977935304,-0.00579412978199652,0.224348085652604,0.0587108276605931
"baseline_discriminaition",0.00030811945851666,-0.139101641781958,0.139717880698991,0.0711287362115431
"PGS:baseline_discriminaition",0.0549994475141837,-0.0838445842709657,0.193843479299333,0.0708400934304576
"shape",2.88459152568633,2.48402075764384,3.34975794564372,0.220034774020446
"rate",0.19253760985364,0.131277866100154,0.28238371257399,0.0376216874516585
"PGS",0.109503486275772,-0.000936374655018835,0.219943347206563,0.0563479032277768
"baseline_discriminaition",-0.0390044943375947,-0.175887294573819,0.0978783058986297,0.0698394467020509
"scale(age)",-0.136126280674699,-0.204808850407916,-0.0674437109414829,0.0350427713340529
"sex",-0.0769619171738457,-0.200992251853456,0.0470684175057646,0.0632819458204058
"scale(wealth)",-0.00575162856764591,-0.0593559726606401,0.0478527155253483,0.0273496577058652
"pc1",-1.69730030902717,-6.93620766074493,3.5416070426906,2.67296103042791
"pc2",0.960525252719444,-4.14589679386327,6.06694729930215,2.60536524490323
"pc3",-1.03981562026586,-6.33880990433812,4.25917866380641,2.70361819190049
"pc4",-3.34995653834678,-8.86987388441811,2.16996080772455,2.81633611107741
"pc5",-7.08250271422895,-12.4881324836469,-1.67687294481104,2.75802505150953
"pc6",0.442190966900996,-4.69319833447159,5.57758026827358,2.62014472810719
"pc7",-3.11328580760215,-8.37961544016098,2.15304382495668,2.68695224713258
"pc8",-2.70342380237583,-8.08137867731055,2.67453107255889,2.74390494792524
"pc9",2.35968227896824,-2.80060639694455,7.51997095488102,2.63284872406661
"pc10",4.99674950267483,-0.298836586301588,10.2923355916513,2.70187928489877
"PGS:baseline_discriminaition",0.0439475515018504,-0.089598255628003,0.177493358631704,0.0681368679135156
"shape",5.19407895513841,2.61623529990595,10.3119379947139,1.81738580706768
"rate",0.42844267484278,0.0637674971146846,2.87863149617275,0.416408756465565
"PGS",0.152235007998928,-0.539408435266058,0.843878451263914,0.352885792147499
"baseline_discriminaition",0.512039100914452,-0.229042200361355,1.25312040219026,0.378109652586151
"scale(age)",-0.126152546437389,-0.380430378690515,0.128125285815736,0.129735971813175
"sex",-0.0890228466448526,-0.61591349530808,0.437867802018375,0.268826699275738
"scale(wealth)",-0.677289105677975,-1.93111564256128,0.576537431205336,0.639719171767101
"alcohol",-0.115064400939345,-0.282182852533325,0.0520540506546341,0.0852660829036598
"smoking",-0.0248641823003047,-0.0577146034403469,0.0079862388397375,0.0167607269312917
"physical_activity",-0.517916314246487,-1.0736491363387,0.037816507845726,0.283542364286162
"pc1",8.50148506627757,-11.5354473708444,28.5384175033995,10.2231125649097
"pc2",-8.81687631762518,-32.9400739078995,15.3063212726491,12.3079800346103
"pc3",7.04661484670974,-13.5868152663539,27.6800449597734,10.5274537061995
"pc4",8.77055421713882,-16.3360975795466,33.8772060138242,12.8097516049904
"pc5",-3.61235666272705,-23.1276618396767,15.9029485142226,9.95697131727107
"pc6",16.5512383833816,-3.62068273336637,36.7231595001295,10.2919856057874
"pc7",7.21332155621069,-12.9416862224206,27.368329334842,10.2833561930788
"pc8",-4.5727451268849,-28.4867224063691,19.3412321525993,12.2012330165832
"pc9",11.160202703159,-11.7667634568205,34.0871688631385,11.6976466612777
"pc10",15.5884855653709,-7.17924963984637,38.3562207705881,11.616404885399
"PGS:baseline_discriminaition",0.115300845690118,-0.617780698804004,0.84838239018424,0.37402806902401
"shape",2.74959080537519,2.34928391867413,3.21810809536832,0.22073101593829
"rate",0.0639622849989313,0.0351766180979655,0.116303787103432,0.0195125107680119
"PGS",0.11133536177333,-0.013967361391837,0.236638084938497,0.0639311355481727
"baseline_discriminaition",-0.040926943313013,-0.192098143473376,0.11024425684735,0.0771295806212675
"scale(age)",-0.138958382230052,-0.215542709525122,-0.0623740549349832,0.0390743543754664
"sex",-0.0829374216850839,-0.219104051393609,0.0532292080234413,0.0694740468613659
"scale(wealth)",0.00702522148048998,-0.0473758987220263,0.0614263416830063,0.0277561835990995
"data_AFT_input[, alternative_cov]",0.0336198877088131,0.0224293936505537,0.0448103817670726,0.00570954065815934
"pc1",-3.34076452409322,-9.22588002639383,2.54435097820738,3.00266512482966
"pc2",1.14751929422037,-4.48730419005167,6.78234277849242,2.87496276907066
"pc3",-2.14070068689772,-7.87414686873757,3.59274549494213,2.92528139652797
"pc4",-3.89885338382142,-10.0461028155097,2.24839604786685,3.13640938311979
"pc5",-6.37370372767233,-12.2541991681664,-0.493208287178293,3.00030790712413
"pc6",-0.71368434150631,-6.35878019962926,4.93141151661664,2.88020387244396
"pc7",-2.19080077067341,-7.8793795970914,3.49777805574458,2.90238946801511
"pc8",-2.77776476227984,-8.66252636519548,3.1069968406358,3.00248456060106
"pc9",1.84326745525419,-3.72753766193687,7.41407257244526,2.84229973669561
"pc10",4.15547050713905,-1.60948633895224,9.92042735323034,2.94135856146569
"PGS:baseline_discriminaition",0.0462481943833129,-0.103586654140551,0.196083042907177,0.0764477560331427
"shape",2.70312443453479,2.31209041708192,3.16029237204357,0.215503996498411
"rate",0.258078159915911,0.160461288185641,0.415080405864163,0.0625732222487423
"PGS",0.0916562693504065,-0.0303860384118129,0.213698577112626,0.0622676277344245
"baseline_discriminaition",-0.0638192161253126,-0.21591113402471,0.0882727017740848,0.0775993432017522
"scale(age)",-0.160596531687723,-0.237386564420553,-0.0838064989548928,0.0391793080579745
"sex",-0.130199939858768,-0.270403884953199,0.010004005235662,0.0715339395011037
"scale(wealth)",0.00433670686044762,-0.050681448931713,0.0593548626526083,0.0280710034603375
"depression",-0.0558998650264843,-0.0920175336301782,-0.0197821964227903,0.0184277205543497
"pc1",-3.17894731408039,-9.05053960191531,2.69264497375454,2.9957653988284
"pc2",0.610954910623207,-5.05406082349871,6.27597064474512,2.8903672612389
"pc3",-1.24866767882539,-7.09761042346874,4.60027506581797,2.98420929709886
"pc4",-3.57049112517163,-9.82749562954429,2.68651337920103,3.19240789816911
"pc5",-5.42631567574791,-11.3525960344216,0.499964682925791,3.02366798850359
"pc6",1.39598548291361,-4.28625173922126,7.07822270504849,2.89915389617138
"pc7",-3.35238219568998,-9.18583200189013,2.48106761051016,2.97630459141783
"pc8",-2.09817133142062,-8.05133787374898,3.85499521090773,3.03738568120954
"pc9",3.15178921112871,-2.56050277355815,8.86408119581556,2.91448824047007
"pc10",4.24511180242783,-1.59976864421301,10.0899922490687,2.98213665799194
