"","est","L95%","U95%","se"
"meanlog",3.04007423915938,2.77960339947617,3.30054507884259,0.132895727542838
"sdlog",0.914695851626515,0.808491365864473,1.03485149787364,0.0575996464342853
"PGS",-0.107249307193114,-0.218426715958036,0.00392810157180885,0.0567242100578765
"baseline_discriminaition",0.0276652713137967,-0.104750491563698,0.160081034191291,0.0675603041290418
"PGS:baseline_discriminaition",0.0697745324942813,-0.0642354245886289,0.203784489577192,0.0683736834655961
"meanlog",2.67441864163426,2.37422517002848,2.97461211324003,0.153162748894195
"sdlog",0.897714256228327,0.791955360984709,1.01759635143266,0.0574120753857431
"PGS",-0.0975385526564773,-0.208499215660119,0.0134221103471645,0.0566136234537397
"baseline_discriminaition",0.0598072526562374,-0.0741994511405264,0.193813956453001,0.068372023595225
"scale(age)",-0.00485082701571549,-0.0701678353636088,0.0604661813321779,0.0333256166251552
"sex",0.222689485505683,0.0941879197675094,0.351191051243857,0.0655632280755044
"scale(wealth)",0.146888491582755,0.0256597083811258,0.268117274784385,0.0618525565560728
"pc1",0.338588019389336,-5.04605045460866,5.72322649338733,2.74731501010801
"pc2",1.31706316739405,-3.90263274216199,6.53675907695009,2.66315909411006
"pc3",-1.27086520552365,-6.64136254762516,4.09963213657786,2.74010001431828
"pc4",1.14074540576818,-4.21166867965953,6.49315949119589,2.73087369341828
"pc5",2.15838824285215,-3.35037723814682,7.66715372385113,2.81064627944769
"pc6",-2.26872909690445,-7.50243119359621,2.96497299978731,2.67030523926691
"pc7",3.68729610853291,-1.56859746522953,8.94318968229536,2.68162762949741
"pc8",-4.94748786069908,-10.3655835907128,0.470607869314598,2.76438535235899
"pc9",2.73055369269329,-2.47781377897872,7.93892116436529,2.65737917265569
"pc10",4.01655913767885,-1.30946803666593,9.34258631202362,2.71741073629709
"PGS:baseline_discriminaition",0.0532154885958773,-0.0812587428792136,0.187689720070968,0.0686105625081922
"meanlog",2.71623186528262,0.906687186869918,4.52577654369531,0.923254045832554
"sdlog",0.73855603473826,0.425424257650446,1.28216716992308,0.207858376666133
"PGS",-0.237584401770233,-1.18509061129353,0.709921807753066,0.483430418618458
"baseline_discriminaition",-0.225323842265801,-0.995011874180661,0.54436418964906,0.392705191516814
"scale(age)",0.33640797364228,-0.0867499537571069,0.759565901041667,0.215900868963513
"sex",0.510249741675761,-0.157858687863116,1.17835817121464,0.340877911435532
"scale(wealth)",0.299269103470654,-0.806271172371003,1.40480937931231,0.564061525906607
"alcohol",-0.015602266491929,-0.0361298475799062,0.00492531459604807,0.010473448109198
"smoking",0.0132394659906098,-0.0279459985727227,0.0544249305539423,0.0210133782499057
"physical_activity",0.0131315871833582,-0.652679299702542,0.678942474069259,0.339705674256125
"pc1",52.1769482995741,-4.33821706602652,108.692113665175,28.8347978898516
"pc2",-5.60164792098723,-29.5339863652708,18.3306905232964,12.2106011299487
"pc3",-18.4916999006409,-52.1259526702275,15.1425528689458,17.1606483766484
"pc4",-8.75284444033018,-62.1073667581277,44.6016778774673,27.2221952743271
"pc5",-6.05193321301276,-29.6378450773182,17.5339786512926,12.0338496270075
"pc6",14.4584467912866,-15.1975496509032,44.1144432334764,15.1308884633149
"pc7",22.4326154609964,-10.9711256362916,55.8363565582844,17.0430382194634
"pc8",9.81653842754839,-20.066829612044,39.6999064671408,15.2468965120322
"pc9",21.6528328103488,-13.2670889058158,56.5727545265134,17.8166139743426
"pc10",28.8650083949073,-1.8667413150493,59.5967581048638,15.6797522568602
"PGS:baseline_discriminaition",0.360646431306796,-0.626560705733103,1.3478535683467,0.503686366089818
"meanlog",2.72073654075457,2.41411470393485,3.02735837757429,0.156442587332378
"sdlog",0.896038545336854,0.790380955033676,1.01582037069096,0.0573604954642847
"PGS",-0.096318494135825,-0.207072116430463,0.0144351281588132,0.0565079884978748
"baseline_discriminaition",0.0618386470496378,-0.072363400442958,0.196040694542234,0.0684716905775639
"scale(age)",-0.00306202140933002,-0.0685159151560205,0.0623918723373605,0.033395457397678
"sex",0.212421445715866,0.0836573071145342,0.341185584317198,0.0656971962837108
"scale(wealth)",0.132301484072408,0.0128125947315436,0.251790373413272,0.0609648392946898
"data_AFT_input[, alternative_cov]",-0.228606473031398,-0.391484372714054,-0.0657285733487425,0.0831024962537149
"pc1",-0.0173362567311598,-5.41713204817393,5.38245953471161,2.75504847743921
"pc2",1.30440755344038,-3.93968279296187,6.54849789984264,2.6756054640631
"pc3",-1.26167760169196,-6.62738487033818,4.10402966695426,2.73765605438173
"pc4",0.800818443891752,-4.56376918934198,6.16540607712549,2.73708480132743
"pc5",1.70306688464346,-3.82622484700609,7.232358616293,2.82111904874982
"pc6",-2.04015617971978,-7.29402396463851,3.21371160519895,2.68059404476846
"pc7",3.60885948932276,-1.64802148634601,8.86574046499153,2.68213141523741
"pc8",-4.71290225461271,-10.1563501990044,0.730545689778979,2.77732039329749
"pc9",2.59537700276013,-2.60595541121297,7.79670941673323,2.65378979154747
"pc10",4.28867641557298,-1.06124561619197,9.63859844733794,2.72960221410417
"PGS:baseline_discriminaition",0.05427561166272,-0.0802747110790555,0.188825934404496,0.0686493852964092
"meanlog",2.68715107882613,2.24650977116171,3.12779238649055,0.224821124847264
"sdlog",0.903133362678289,0.795170386823113,1.0257548373265,0.0586650346008693
"PGS",-0.114637342276008,-0.23001227663212,0.000737592080104391,0.0588658441002872
"baseline_discriminaition",0.0436069612507717,-0.0950948863814549,0.182308808882998,0.070767549162275
"scale(age)",0.00562976090536185,-0.0618670481122254,0.0731265699229491,0.0344377802602464
"sex",0.215283618037013,0.0819815471645012,0.348585688909526,0.0680125103950797
"scale(wealth)",0.142833498554014,0.0186820030261783,0.26698499408185,0.0633437637156229
"depression",0.00365891839812236,-0.0355799354265567,0.0428977722228014,0.0200201912556507
"pc1",0.381330484223935,-5.10110260484691,5.86376357329478,2.79721113873294
"pc2",1.59011049063671,-3.75762444458215,6.93784542585557,2.72848632801476
