"","est","L95%","U95%","se"
"shape",2.19349936698851,1.92793742722416,2.49564088804818,0.144423784858172
"rate",0.10201138268305,0.07381265466542,0.140982901158042,0.0168402138334709
"PGS",0.0325743776315212,-0.0540008744482554,0.119149629711298,0.0441718586477461
"baseline_discriminaition",0.0867048989645381,-0.0499302741984175,0.223340072127494,0.0697131040369703
"PGS:baseline_discriminaition",-0.0378847387429439,-0.172991308017849,0.0972218305319608,0.0689331897629794
"shape",2.27445683024146,1.99808699358916,2.5890533741674,0.150338612901716
"rate",0.108918483659151,0.0785305849011821,0.1510651690362,0.0181781387974163
"PGS",0.0596844338246431,-0.0445775543281498,0.163946421977436,0.0531958694012738
"baseline_discriminaition",0.0370380975121493,-0.0978199461693192,0.171896141193618,0.068806388660818
"scale(age)",-0.141433261640581,-0.211162694188504,-0.0717038290926579,0.0355768948296702
"sex",0.0784290574844985,-0.0533888026985816,0.210246917667579,0.06725524612842
"scale(wealth)",-0.0337763811067848,-0.109199351533774,0.0416465893202041,0.0384818144730799
"pc1",-0.460531860793655,-8.07563751044301,7.1545737888557,3.88532937835406
"pc2",0.0526736912059423,-6.92973055708796,7.03507793949984,3.56251660916742
"pc3",-2.55004956630523,-10.0067005029879,4.90660137037749,3.80448365148535
"pc4",0.0482499319722443,-7.04335469097117,7.13985455491566,3.61823210981482
"pc5",5.14913053284122,-4.48460274717656,14.782863812859,4.91526035988796
"pc6",-0.93508023000406,-8.16403998330021,6.29387952329209,3.68831254569842
"pc7",1.17361638883903,-6.05037720261083,8.39760998028888,3.68577874309518
"pc8",0.665812420599328,-6.4941493949125,7.82577423611115,3.65310886934081
"pc9",-6.04820034640773,-13.3034116248447,1.20701093202923,3.70170642709006
"pc10",8.42675268952105,0.803073669567838,16.0504317094743,3.88970362725429
"PGS:baseline_discriminaition",-0.0300615413229664,-0.166789292274369,0.106666209628436,0.0697603384704483
"shape",2.33003373076449,1.96163319017144,2.76762098729876,0.204601355783735
"rate",0.087439371520835,0.0503515953675566,0.151845113072326,0.0246224583202722
"PGS",0.0432496115733494,-0.0901659203695588,0.176665143516257,0.0680703997600328
"baseline_discriminaition",0.071500073180164,-0.103716281882574,0.246716428242902,0.089397742226297
"scale(age)",-0.10986245573069,-0.200089877477618,-0.0196350339837623,0.0460352447588988
"sex",0.0877275383762505,-0.0886192582487222,0.264074335001223,0.0899745087236162
"scale(wealth)",-0.0257918159921973,-0.114579318735138,0.062995686750743,0.0453005787061828
"alcohol",-0.0347381252955668,-0.072837866612165,0.00336161602103131,0.0194390007250766
"smoking",0.0519641088945467,-0.125424694817052,0.229352912606145,0.0905061547614235
"physical_activity",0.0755326633207427,0.00692304474402031,0.144142281897465,0.0350055506723115
"pc1",3.57943051722567,-6.12387422136293,13.2827352558143,4.95075665426867
"pc2",-3.77147896903822,-12.0567732720758,4.5138153339994,4.22726864799097
"pc3",-4.98305217278508,-14.6188195982914,4.65271525272121,4.91629820828954
"pc4",3.07519715894715,-5.63778357970235,11.7881778975966,4.44548002278429
"pc5",6.31849025727035,-5.88069604081167,18.5176765553524,6.2241890128123
"pc6",-3.60821455913024,-13.0820681934845,5.86563907522404,4.83368761318209
"pc7",3.28815246918303,-6.03319887747864,12.6095038158447,4.75587889378953
"pc8",3.08785850844669,-6.44561079670645,12.6213278135998,4.86410433066726
"pc9",-0.530525081781662,-10.0241505240125,8.96310036044922,4.84377545562846
"pc10",2.02592456515341,-7.28191411962468,11.3337632499315,4.74898455185765
"PGS:baseline_discriminaition",-0.0142338532306754,-0.190687273532627,0.162219567071277,0.0900289095584379
"shape",2.01936889893679,1.68612671182488,2.41847230187094,0.1858173171521
"rate",0.0313801547526613,0.0139654672206454,0.0705106457766949,0.0129619715786156
"PGS",-0.0182859636423907,-0.180861133411638,0.144289206126856,0.08294803937808
"baseline_discriminaition",-0.0332366807453311,-0.246161354044401,0.179687992553739,0.108637033628471
"scale(age)",-0.100684992837644,-0.211736157704231,0.0103661720289438,0.0566597987220912
"sex",0.0534731046220197,-0.153231661620227,0.260177870864266,0.105463553347259
"scale(wealth)",-0.000415435697608957,-0.114739233877398,0.11390836248218,0.0583295402780668
"data_AFT_input[, alternative_cov]",0.039891744988266,0.0238636470625699,0.0559198429139622,0.0081777512505963
"pc1",-2.37590935388487,-14.1126861001364,9.36086739236669,5.9882614368579
"pc2",11.8426319501058,-2.1288761519481,25.8141400521598,7.12845144719975
"pc3",-8.79665589129816,-20.5169744084003,2.92366262580399,5.97986422686872
"pc4",8.96531172444161,-2.45112878728935,20.3817522361726,5.82482157926492
"pc5",-3.45930888001226,-18.4307683165616,11.5121505565371,7.63864007432908
"pc6",3.06873755356829,-8.18208988520955,14.3195649923461,5.74032356080159
"pc7",0.455613293199773,-10.7831332194046,11.6943598058042,5.73415970969579
"pc8",-6.99403487157861,-18.3276445641747,4.33957482101752,5.78256018069424
"pc9",-5.61926510588776,-16.9726854272642,5.73415521548866,5.79266783008808
"pc10",5.24003863328179,-6.45869071732262,16.9387679838862,5.96884914359779
"PGS:baseline_discriminaition",-0.0996470402534537,-0.318790750855719,0.119496670348811,0.111810070149678
"shape",2.27886770806718,2.00087222916694,2.59548708566641,0.151263205275587
"rate",0.109278070121926,0.0786543693292185,0.151824961682534,0.0183341056991156
"PGS",0.0640518319895972,-0.0406875749922346,0.168791238971429,0.0534394549124387
"baseline_discriminaition",0.036735352559355,-0.0990065930640428,0.172477298182753,0.0692573673261922
"scale(age)",-0.140918105524015,-0.211329683722053,-0.0705065273259778,0.0359249347199413
"sex",0.0871336420482069,-0.0451256017113306,0.219392885807744,0.0674804459687941
"scale(wealth)",-0.0352265941442703,-0.111241204082627,0.0407880157940868,0.0387836769134283
"depression",-0.0194830994029627,-0.277571222617869,0.238605023811944,0.131680033536674
"pc1",0.464070446913084,-7.29956713691166,8.22770803073783,3.96111236995339
"pc2",0.409428612822337,-6.63462765950151,7.45348488514618,3.59397230147414
"pc3",-2.52572011137849,-9.9997870378426,4.94834681508562,3.81336952383748
"pc4",0.166698973565912,-6.92362392591768,7.2570218730495,3.61757815725756
"pc5",5.85551350496337,-3.91060122576267,15.6216282356894,4.98280315748652
"pc6",-0.550745117600926,-7.79414419984699,6.69265396464514,3.69567968563763
"pc7",0.287497061020714,-6.9725763105745,7.54757043261593,3.70418713244823
"pc8",0.617905512533048,-6.56220730117573,7.79801832624182,3.66339017979136
"pc9",-5.69498554847817,-12.9734960656679,1.58352496871158,3.71359401223783
"pc10",8.22543194473063,0.596286640645757,15.8545772488155,3.89249259897764
"PGS:baseline_discriminaition",-0.043381446944962,-0.18223239586007,0.0954695019701456,0.0708436226432456
"shape",2.26720347307467,1.7820488653611,2.88443919144734,0.27852802422591
"rate",0.0436434964393672,0.0146489770171938,0.130026470736995,0.0243090675309469
"PGS",-0.066436248694572,-0.259363121958757,0.126490624569613,0.0984338869417845
"baseline_discriminaition",-0.0544726436653289,-0.317693950905909,0.208748663575251,0.134299053103443
"scale(age)",-0.0300837671924049,-0.164313954806122,0.104146420421312,0.0684860480460393
