"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",0.1393,0.029,"[0.0824;0.1961]",0
"2","Univariate","baseline_discriminaition",0.2523,0.0363,"[0.181;0.3235]",0
"3","Univariate","PGS:baseline_discriminaition",-0.0233,0.0358,"[-0.0935;0.0468]",0.5148
"4","Model_1","PGS",0.126,0.0285,"[0.0701;0.1818]",0
"5","Model_1","baseline_discriminaition",0.2997,0.0359,"[0.2293;0.3701]",0
"6","Model_1","PGS:baseline_discriminaition",-0.0109,0.0352,"[-0.0798;0.058]",0.7565
"7","Model_2","PGS",0.141,0.1374,"[-0.129;0.4109]",0.3055
"8","Model_2","baseline_discriminaition",0.4284,0.2004,"[0.0348;0.8221]",0.033
"9","Model_2","PGS:baseline_discriminaition",-0.0126,0.181,"[-0.3682;0.3431]",0.9447
"10","Model_2a","PGS",0.1269,0.0289,"[0.0703;0.1834]",0
"11","Model_2a","baseline_discriminaition",0.3099,0.0364,"[0.2385;0.3813]",0
"12","Model_2a","PGS:baseline_discriminaition",-0.0104,0.0356,"[-0.0803;0.0594]",0.7694
"13","Model_2s","PGS",0.1448,0.1367,"[-0.1236;0.4132]",0.2899
"14","Model_2s","baseline_discriminaition",0.5461,0.1945,"[0.164;0.9282]",0.0052
"15","Model_2s","PGS:baseline_discriminaition",-0.0471,0.1803,"[-0.4012;0.307]",0.794
"16","Model_2pa","PGS",0.1102,0.028,"[0.0553;0.1652]",1e-04
"17","Model_2pa","baseline_discriminaition",0.3067,0.0353,"[0.2374;0.3759]",0
"18","Model_2pa","PGS:baseline_discriminaition",-0.0026,0.0346,"[-0.0704;0.0651]",0.9396
"19","Model_3","PGS",0.1189,0.0294,"[0.0613;0.1766]",1e-04
"20","Model_3","baseline_discriminaition",0.2997,0.0368,"[0.2276;0.3718]",0
"21","Model_3","PGS:baseline_discriminaition",-0.007,0.0361,"[-0.0778;0.0638]",0.8459
"22","Model_5","PGS",0.1896,0.1387,"[-0.0828;0.462]",0.172
"23","Model_5","baseline_discriminaition",0.2701,0.2022,"[-0.1271;0.6673]",0.1822
"24","Model_5","PGS:baseline_discriminaition",-0.1896,0.1848,"[-0.5526;0.1734]",0.3053
