"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",0.1539,0.0354,"[0.0846;0.2233]",0
"2","Univariate","baseline_discriminaition",0.3516,0.0453,"[0.2629;0.4404]",0
"3","Univariate","PGS:baseline_discriminaition",-0.0219,0.0441,"[-0.1083;0.0644]",0.6185
"4","Model_1","PGS",0.1402,0.0346,"[0.0722;0.2081]",1e-04
"5","Model_1","baseline_discriminaition",0.3974,0.0445,"[0.3102;0.4847]",0
"6","Model_1","PGS:baseline_discriminaition",-0.0117,0.0431,"[-0.0963;0.0728]",0.7857
"7","Model_2","PGS",0.1073,0.1503,"[-0.1882;0.4028]",0.4757
"8","Model_2","baseline_discriminaition",0.4687,0.245,"[-0.0129;0.9502]",0.0564
"9","Model_2","PGS:baseline_discriminaition",0.1339,0.2051,"[-0.2692;0.537]",0.5143
"10","Model_2a","PGS",0.1409,0.0352,"[0.0719;0.2099]",1e-04
"11","Model_2a","baseline_discriminaition",0.4194,0.0452,"[0.3307;0.5081]",0
"12","Model_2a","PGS:baseline_discriminaition",-0.0094,0.0438,"[-0.0953;0.0765]",0.8298
"13","Model_2s","PGS",0.1211,0.1482,"[-0.1701;0.4124]",0.4142
"14","Model_2s","baseline_discriminaition",0.5841,0.2311,"[0.1299;1.0383]",0.0118
"15","Model_2s","PGS:baseline_discriminaition",0.0497,0.2027,"[-0.3486;0.4481]",0.8064
"16","Model_2pa","PGS",0.1218,0.034,"[0.0552;0.1884]",3e-04
"17","Model_2pa","baseline_discriminaition",0.4028,0.0437,"[0.3172;0.4883]",0
"18","Model_2pa","PGS:baseline_discriminaition",-0.0085,0.0423,"[-0.0914;0.0744]",0.8407
"19","Model_3","PGS",0.1376,0.0357,"[0.0677;0.2075]",1e-04
"20","Model_3","baseline_discriminaition",0.4018,0.0458,"[0.3121;0.4915]",0
"21","Model_3","PGS:baseline_discriminaition",-0.0097,0.0442,"[-0.0964;0.077]",0.8269
"22","Model_5","PGS",0.1589,0.1516,"[-0.139;0.4569]",0.295
"23","Model_5","baseline_discriminaition",0.2536,0.2483,"[-0.2346;0.7417]",0.3079
"24","Model_5","PGS:baseline_discriminaition",-0.0753,0.209,"[-0.4861;0.3355]",0.7188
