"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.2925,0.1419,"[0.9786;1.707]",0.0706
"2","Univariate","baseline_discriminaition",0.9877,0.1741,"[0.7022;1.3893]",0.9433
"3","Univariate","PGS:baseline_discriminaition",1.1521,0.172,"[0.8225;1.6139]",0.4103
"4","Model_1","PGS",1.2979,0.141,"[0.9845;1.711]",0.0644
"5","Model_1","baseline_discriminaition",0.9624,0.1759,"[0.6818;1.3585]",0.8275
"6","Model_1","PGS:baseline_discriminaition",1.1344,0.1713,"[0.8109;1.5869]",0.4616
"7","Model_2","PGS",2.8896,1.2463,"[0.2512;33.2437]",0.3945
"8","Model_2","baseline_discriminaition",7.0822,1.3272,"[0.5254;95.4719]",0.1402
"9","Model_2","PGS:baseline_discriminaition",0.7497,1.3098,"[0.0575;9.7675]",0.8259
"10","Model_2a","PGS",1.3631,0.1503,"[1.0154;1.8299]",0.0393
"11","Model_2a","baseline_discriminaition",0.9676,0.1903,"[0.6664;1.405]",0.8626
"12","Model_2a","PGS:baseline_discriminaition",1.0847,0.1827,"[0.7583;1.5516]",0.6562
"13","Model_2s","PGS",2.0345,0.9112,"[0.3411;12.1363]",0.4357
"14","Model_2s","baseline_discriminaition",4.0749,1.1144,"[0.4587;36.2011]",0.2075
"15","Model_2s","PGS:baseline_discriminaition",1.2361,0.9928,"[0.1766;8.6528]",0.8309
"16","Model_2pa","PGS",1.2979,0.142,"[0.9826;1.7145]",0.0663
"17","Model_2pa","baseline_discriminaition",0.9684,0.1763,"[0.6855;1.3682]",0.8556
"18","Model_2pa","PGS:baseline_discriminaition",1.1163,0.1723,"[0.7965;1.5646]",0.5229
"19","Model_3","PGS",1.3023,0.1551,"[0.9609;1.765]",0.0887
"20","Model_3","baseline_discriminaition",0.967,0.1872,"[0.67;1.3955]",0.8575
"21","Model_3","PGS:baseline_discriminaition",1.1209,0.1861,"[0.7784;1.6141]",0.5397
"22","Model_4","PGS",1.228,0.1496,"[0.9159;1.6464]",0.1698
"23","Model_4","baseline_discriminaition",0.9191,0.1865,"[0.6377;1.3248]",0.6512
"24","Model_4","PGS:baseline_discriminaition",1.2199,0.1813,"[0.8551;1.7403]",0.273
"25","Model_5","PGS",3.2081,1.7155,"[0.1112;92.5639]",0.4968
"26","Model_5","baseline_discriminaition",3.2577,1.4385,"[0.1943;54.6207]",0.4116
"27","Model_5","PGS:baseline_discriminaition",0.8636,1.7463,"[0.0282;26.4685]",0.9331
