"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.3011,0.1489,"[0.9718;1.7419]",0.077
"2","Univariate","baseline_discriminaition",0.9899,0.1804,"[0.695;1.4098]",0.9551
"3","Univariate","PGS:baseline_discriminaition",0.8518,0.1818,"[0.5965;1.2164]",0.3776
"4","Model_1","PGS",1.2694,0.1482,"[0.9493;1.6973]",0.1076
"5","Model_1","baseline_discriminaition",0.9165,0.1831,"[0.6401;1.3123]",0.634
"6","Model_1","PGS:baseline_discriminaition",0.9104,0.1826,"[0.6365;1.3021]",0.6071
"7","Model_2","PGS",1.6712,1.5663,"[0.0776;35.9965]",0.743
"8","Model_2","baseline_discriminaition",2.8638,1.2437,"[0.2502;32.7807]",0.3976
"9","Model_2","PGS:baseline_discriminaition",0.4573,1.6188,"[0.0192;10.9165]",0.6288
"10","Model_2a","PGS",1.34,0.159,"[0.9811;1.8301]",0.0657
"11","Model_2a","baseline_discriminaition",1.0329,0.1953,"[0.7045;1.5146]",0.8682
"12","Model_2a","PGS:baseline_discriminaition",0.9171,0.193,"[0.6283;1.3387]",0.6539
"13","Model_2s","PGS",2.0862,1.105,"[0.2392;18.194]",0.5057
"14","Model_2s","baseline_discriminaition",1.0033,0.9108,"[0.1683;5.9802]",0.9971
"15","Model_2s","PGS:baseline_discriminaition",0.3378,1.1861,"[0.033;3.4537]",0.3602
"16","Model_2pa","PGS",1.2675,0.1477,"[0.9489;1.6931]",0.1085
"17","Model_2pa","baseline_discriminaition",0.9211,0.1835,"[0.6428;1.3197]",0.654
"18","Model_2pa","PGS:baseline_discriminaition",0.8923,0.1819,"[0.6247;1.2745]",0.531
"19","Model_3","PGS",1.2582,0.1479,"[0.9416;1.6813]",0.1204
"20","Model_3","baseline_discriminaition",0.9183,0.1832,"[0.6413;1.3149]",0.6417
"21","Model_3","PGS:baseline_discriminaition",0.9139,0.1828,"[0.6387;1.3076]",0.6222
"22","Model_4","PGS",1.3344,0.1543,"[0.9861;1.8057]",0.0616
"23","Model_4","baseline_discriminaition",0.9568,0.1901,"[0.6592;1.3887]",0.8163
"24","Model_4","PGS:baseline_discriminaition",0.905,0.1883,"[0.6256;1.3091]",0.596
"25","Model_5","PGS",1.1291,1.6213,"[0.0471;27.09]",0.9403
"26","Model_5","baseline_discriminaition",5.8535,1.6342,"[0.2379;144.0246]",0.2796
"27","Model_5","PGS:baseline_discriminaition",0.8107,1.6362,"[0.0328;20.0288]",0.898
