"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.3057,0.1502,"[0.9726;1.7528]",0.0758
"2","Univariate","baseline_discriminaition",0.9875,0.1817,"[0.6917;1.41]",0.945
"3","Univariate","PGS:baseline_discriminaition",0.8492,0.1833,"[0.5929;1.2163]",0.3725
"4","Model_1","PGS",1.2763,0.15,"[0.9511;1.7127]",0.1039
"5","Model_1","baseline_discriminaition",0.9603,0.185,"[0.6683;1.38]",0.8267
"6","Model_1","PGS:baseline_discriminaition",0.9282,0.1845,"[0.6465;1.3325]",0.6862
"7","Model_2","PGS",1.3156,1.2118,"[0.1223;14.1467]",0.8209
"8","Model_2","baseline_discriminaition",3.2598,1.2181,"[0.2995;35.4827]",0.332
"9","Model_2","PGS:baseline_discriminaition",0.6166,1.2649,"[0.0517;7.3574]",0.7023
"10","Model_2a","PGS",1.3455,0.161,"[0.9813;1.8449]",0.0653
"11","Model_2a","baseline_discriminaition",1.081,0.1971,"[0.7346;1.5907]",0.6929
"12","Model_2a","PGS:baseline_discriminaition",0.9352,0.195,"[0.6381;1.3707]",0.7313
"13","Model_2s","PGS",1.7468,0.928,"[0.2833;10.7696]",0.5478
"14","Model_2s","baseline_discriminaition",1.2052,0.915,"[0.2005;7.2426]",0.8384
"15","Model_2s","PGS:baseline_discriminaition",0.434,1.0009,"[0.061;3.0863]",0.4043
"16","Model_2pa","PGS",1.2744,0.15,"[0.9498;1.7101]",0.106
"17","Model_2pa","baseline_discriminaition",0.9689,0.1854,"[0.6737;1.3934]",0.8646
"18","Model_2pa","PGS:baseline_discriminaition",0.9141,0.1844,"[0.6368;1.3122]",0.6263
"19","Model_3","PGS",1.2637,0.1496,"[0.9425;1.6943]",0.1178
"20","Model_3","baseline_discriminaition",0.96,0.1851,"[0.6679;1.38]",0.8256
"21","Model_3","PGS:baseline_discriminaition",0.9309,0.1847,"[0.6482;1.337]",0.6984
"22","Model_4","PGS",1.3396,0.1556,"[0.9874;1.8174]",0.0603
"23","Model_4","baseline_discriminaition",1.004,0.1918,"[0.6895;1.4621]",0.9833
"24","Model_4","PGS:baseline_discriminaition",0.9267,0.1899,"[0.6387;1.3446]",0.6886
"25","Model_5","PGS",0.4176,1.2641,"[0.0351;4.975]",0.4897
"26","Model_5","baseline_discriminaition",6.4017,1.487,"[0.3472;118.0377]",0.2118
"27","Model_5","PGS:baseline_discriminaition",2.1475,1.3554,"[0.1507;30.5952]",0.5728
