"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.3027,0.1664,"[0.9401;1.8052]",0.1121
"2","Univariate","baseline_discriminaition",0.9271,0.2031,"[0.6226;1.3805]",0.7095
"3","Univariate","PGS:baseline_discriminaition",0.7973,0.2052,"[0.5333;1.192]",0.2696
"4","Model_1","PGS",1.2707,0.166,"[0.9178;1.7593]",0.149
"5","Model_1","baseline_discriminaition",0.9196,0.207,"[0.6129;1.3797]",0.6855
"6","Model_1","PGS:baseline_discriminaition",0.8779,0.2068,"[0.5854;1.3168]",0.5291
"7","Model_2","PGS",0.6906,4416.7561,"[0;Inf]",0.9999
"8","Model_2","baseline_discriminaition",159023401.6237,2632.427,"[0;Inf]",0.9943
"9","Model_2","PGS:baseline_discriminaition",0.758,4416.7561,"[0;Inf]",0.9999
"10","Model_2a","PGS",1.3467,0.1822,"[0.9424;1.9246]",0.1022
"11","Model_2a","baseline_discriminaition",1.0678,0.2239,"[0.6885;1.6562]",0.7695
"12","Model_2a","PGS:baseline_discriminaition",0.8918,0.2223,"[0.5768;1.3787]",0.6063
"13","Model_2s","PGS",1.7661,1.2674,"[0.1473;21.1746]",0.6536
"14","Model_2s","baseline_discriminaition",1.9176,1.1016,"[0.2214;16.6124]",0.5545
"15","Model_2s","PGS:baseline_discriminaition",0.3445,1.2819,"[0.0279;4.2489]",0.4057
"16","Model_2pa","PGS",1.2631,0.1658,"[0.9126;1.748]",0.159
"17","Model_2pa","baseline_discriminaition",0.932,0.2076,"[0.6205;1.4]",0.7345
"18","Model_2pa","PGS:baseline_discriminaition",0.8638,0.2067,"[0.5761;1.2952]",0.4787
"19","Model_3","PGS",1.262,0.1658,"[0.912;1.7464]",0.1603
"20","Model_3","baseline_discriminaition",0.9211,0.2071,"[0.6138;1.3822]",0.6916
"21","Model_3","PGS:baseline_discriminaition",0.8782,0.2072,"[0.585;1.3182]",0.5308
"22","Model_4","PGS",1.3471,0.1733,"[0.9592;1.8918]",0.0856
"23","Model_4","baseline_discriminaition",0.9775,0.2159,"[0.6403;1.4924]",0.9161
"24","Model_4","PGS:baseline_discriminaition",0.8816,0.214,"[0.5796;1.341]",0.5559
"25","Model_5","PGS",0.0497,4090.0498,"[0;Inf]",0.9994
"26","Model_5","baseline_discriminaition",87075982839503077376,3273.8608,"[0;Inf]",0.9888
"27","Model_5","PGS:baseline_discriminaition",0.5103,4090.049,"[0;Inf]",0.9999
