"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",0.1248,0.022,"[0.0818;0.1679]",0
"2","Univariate","baseline_discriminaition",0.5653,0.0352,"[0.4962;0.6343]",0
"3","Univariate","PGS:baseline_discriminaition",-0.0102,0.0347,"[-0.0781;0.0578]",0.7697
"4","Model_1","PGS",0.1269,0.0227,"[0.0824;0.1715]",0
"5","Model_1","baseline_discriminaition",0.5775,0.0353,"[0.5083;0.6468]",0
"6","Model_1","PGS:baseline_discriminaition",-0.0103,0.0345,"[-0.078;0.0573]",0.7649
"7","Model_2","PGS",0.1013,0.0283,"[0.0458;0.1569]",4e-04
"8","Model_2","baseline_discriminaition",0.5419,0.0427,"[0.4582;0.6256]",0
"9","Model_2","PGS:baseline_discriminaition",-0.0348,0.0424,"[-0.1179;0.0484]",0.4123
"10","Model_2a","PGS",0.1045,0.0284,"[0.0488;0.1602]",2e-04
"11","Model_2a","baseline_discriminaition",0.5589,0.0429,"[0.4747;0.643]",0
"12","Model_2a","PGS:baseline_discriminaition",-0.0308,0.0426,"[-0.1143;0.0527]",0.4696
"13","Model_2s","PGS",0.1229,0.0226,"[0.0785;0.1673]",0
"14","Model_2s","baseline_discriminaition",0.571,0.0352,"[0.5019;0.6401]",0
"15","Model_2s","PGS:baseline_discriminaition",-0.0062,0.0344,"[-0.0736;0.0612]",0.8568
"16","Model_2pa","PGS",0.1318,0.0226,"[0.0875;0.176]",0
"17","Model_2pa","baseline_discriminaition",0.5617,0.0351,"[0.493;0.6304]",0
"18","Model_2pa","PGS:baseline_discriminaition",-0.0252,0.0343,"[-0.0923;0.042]",0.4628
"19","Model_3","PGS",0.1152,0.0226,"[0.0708;0.1595]",0
"20","Model_3","baseline_discriminaition",0.5305,0.0354,"[0.461;0.5999]",0
"21","Model_3","PGS:baseline_discriminaition",-0.0023,0.0343,"[-0.0696;0.0649]",0.9455
"22","Model_5","PGS",0.0986,0.0282,"[0.0433;0.1539]",5e-04
"23","Model_5","baseline_discriminaition",0.5079,0.0428,"[0.424;0.5918]",0
"24","Model_5","PGS:baseline_discriminaition",-0.0273,0.0422,"[-0.1101;0.0555]",0.5176
