"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.0939,0.1172,"[0.8694;1.3765]",0.4436
"2","Univariate","baseline_discriminaition",1.5295,0.1734,"[1.0887;2.1488]",0.0143
"3","Univariate","PGS:baseline_discriminaition",0.79,0.1754,"[0.5602;1.1141]",0.179
"4","Model_1","PGS",1.3038,0.1467,"[0.9779;1.7382]",0.0706
"5","Model_1","baseline_discriminaition",1.6138,0.1764,"[1.142;2.2805]",0.0067
"6","Model_1","PGS:baseline_discriminaition",0.7695,0.1884,"[0.5319;1.1131]",0.1642
"7","Model_2","PGS",1.2429,0.1959,"[0.8466;1.8248]",0.267
"8","Model_2","baseline_discriminaition",2.04,0.2292,"[1.3017;3.1971]",0.0019
"9","Model_2","PGS:baseline_discriminaition",0.7972,0.2467,"[0.4916;1.2928]",0.3582
"10","Model_2a","PGS",1.2395,0.1912,"[0.8521;1.8031]",0.2614
"11","Model_2a","baseline_discriminaition",1.999,0.2261,"[1.2835;3.1134]",0.0022
"12","Model_2a","PGS:baseline_discriminaition",0.7985,0.2444,"[0.4946;1.2891]",0.3572
"13","Model_2s","PGS",1.3075,0.1475,"[0.9792;1.7457]",0.0691
"14","Model_2s","baseline_discriminaition",1.6252,0.1771,"[1.1485;2.2999]",0.0061
"15","Model_2s","PGS:baseline_discriminaition",0.7652,0.1886,"[0.5287;1.1074]",0.1558
"16","Model_2pa","PGS",1.2986,0.1474,"[0.9728;1.7335]",0.0762
"17","Model_2pa","baseline_discriminaition",1.5788,0.1782,"[1.1133;2.239]",0.0104
"18","Model_2pa","PGS:baseline_discriminaition",0.7535,0.1891,"[0.5202;1.0915]",0.1345
"19","Model_3","PGS",1.3218,0.2845,"[0.7568;2.3086]",0.3268
"20","Model_3","baseline_discriminaition",2.3272,0.3208,"[1.241;4.3641]",0.0085
"21","Model_3","PGS:baseline_discriminaition",0.5521,0.3321,"[0.288;1.0587]",0.0737
"22","Model_4","PGS",1.3065,0.1476,"[0.9782;1.7449]",0.0702
"23","Model_4","baseline_discriminaition",1.6272,0.1776,"[1.1489;2.3046]",0.0061
"24","Model_4","PGS:baseline_discriminaition",0.7684,0.1894,"[0.5301;1.1137]",0.1641
"25","Model_5","PGS",1.2557,0.3717,"[0.606;2.6019]",0.5402
"26","Model_5","baseline_discriminaition",3.2225,0.4124,"[1.4361;7.2314]",0.0045
"27","Model_5","PGS:baseline_discriminaition",0.5842,0.4109,"[0.2611;1.3072]",0.1908
