"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.2268,0.0965,"[1.0154;1.4822]",0.0342
"2","Univariate","baseline_discriminaition",0.8175,0.1793,"[0.5753;1.1617]",0.2611
"3","Univariate","PGS:baseline_discriminaition",1.0898,0.1734,"[0.7757;1.531]",0.6201
"4","Model_1","PGS",1.2596,0.0986,"[1.0383;1.5281]",0.0192
"5","Model_1","baseline_discriminaition",0.808,0.1814,"[0.5662;1.153]",0.2399
"6","Model_1","PGS:baseline_discriminaition",1.094,0.1742,"[0.7775;1.5393]",0.606
"7","Model_2","PGS",1.3866,0.143,"[1.0476;1.8353]",0.0223
"8","Model_2","baseline_discriminaition",0.9851,0.2533,"[0.5996;1.6184]",0.9527
"9","Model_2","PGS:baseline_discriminaition",0.8911,0.2427,"[0.5538;1.4339]",0.6348
"10","Model_2a","PGS",1.3968,0.1419,"[1.0577;1.8446]",0.0185
"11","Model_2a","baseline_discriminaition",0.9846,0.2521,"[0.6007;1.6138]",0.9508
"12","Model_2a","PGS:baseline_discriminaition",0.899,0.2437,"[0.5577;1.4493]",0.6622
"13","Model_2s","PGS",1.2548,0.0984,"[1.0346;1.5218]",0.0211
"14","Model_2s","baseline_discriminaition",0.8039,0.1813,"[0.5634;1.1469]",0.2286
"15","Model_2s","PGS:baseline_discriminaition",1.0956,0.1738,"[0.7793;1.5402]",0.5995
"16","Model_2pa","PGS",1.2536,0.0991,"[1.0323;1.5224]",0.0226
"17","Model_2pa","baseline_discriminaition",0.8035,0.1819,"[0.5626;1.1477]",0.2291
"18","Model_2pa","PGS:baseline_discriminaition",1.0795,0.1748,"[0.7663;1.5206]",0.6618
"19","Model_3","PGS",1.2321,0.0985,"[1.0158;1.4943]",0.0341
"20","Model_3","baseline_discriminaition",0.7577,0.1823,"[0.5301;1.0832]",0.1281
"21","Model_3","PGS:baseline_discriminaition",1.0752,0.1758,"[0.7618;1.5175]",0.6801
"22","Model_4","PGS",1.2618,0.0983,"[1.0406;1.5299]",0.018
"23","Model_4","baseline_discriminaition",0.7599,0.1847,"[0.5291;1.0915]",0.1373
"24","Model_4","PGS:baseline_discriminaition",1.0994,0.1768,"[0.7775;1.5545]",0.5921
"25","Model_5","PGS",1.3766,0.1415,"[1.0433;1.8165]",0.0239
"26","Model_5","baseline_discriminaition",0.8907,0.2594,"[0.5357;1.4809]",0.6554
"27","Model_5","PGS:baseline_discriminaition",0.9321,0.2485,"[0.5728;1.5169]",0.7772
