"","output_results.Model","output_results.term","output_results.Estimate_rounded","output_results.SE_rounded","output_results.CI95_edited","output_results.p_value_rounded"
"1","Univariate","PGS",1.2147,0.1241,"[0.9524;1.5492]",0.1171
"2","Univariate","baseline_discriminaition",0.8139,0.2334,"[0.5151;1.2861]",0.3777
"3","Univariate","PGS:baseline_discriminaition",1.307,0.2189,"[0.851;2.0072]",0.2213
"4","Model_1","PGS",1.2556,0.1277,"[0.9777;1.6126]",0.0746
"5","Model_1","baseline_discriminaition",0.8466,0.2363,"[0.5328;1.3454]",0.4811
"6","Model_1","PGS:baseline_discriminaition",1.3555,0.2209,"[0.8792;2.0898]",0.1685
"7","Model_2","PGS",1.3007,0.1752,"[0.9227;1.8335]",0.1334
"8","Model_2","baseline_discriminaition",0.7987,0.3512,"[0.4013;1.5898]",0.5223
"9","Model_2","PGS:baseline_discriminaition",1.6437,0.3281,"[0.8641;3.1269]",0.1298
"10","Model_2a","PGS",1.3124,0.1755,"[0.9305;1.8511]",0.1213
"11","Model_2a","baseline_discriminaition",0.8006,0.3508,"[0.4026;1.5922]",0.5261
"12","Model_2a","PGS:baseline_discriminaition",1.6498,0.3275,"[0.8683;3.1347]",0.1263
"13","Model_2s","PGS",1.2531,0.1276,"[0.9758;1.6091]",0.0771
"14","Model_2s","baseline_discriminaition",0.846,0.2363,"[0.5324;1.3443]",0.479
"15","Model_2s","PGS:baseline_discriminaition",1.3597,0.2206,"[0.8824;2.0952]",0.1637
"16","Model_2pa","PGS",1.2439,0.1279,"[0.9681;1.5981]",0.0879
"17","Model_2pa","baseline_discriminaition",0.8378,0.2366,"[0.5269;1.332]",0.4543
"18","Model_2pa","PGS:baseline_discriminaition",1.3337,0.2208,"[0.8651;2.056]",0.1923
"19","Model_3","PGS",1.209,0.128,"[0.9408;1.5537]",0.138
"20","Model_3","baseline_discriminaition",0.7739,0.2384,"[0.485;1.235]",0.2825
"21","Model_3","PGS:baseline_discriminaition",1.3514,0.2251,"[0.8693;2.1008]",0.1809
"22","Model_4","PGS",1.2501,0.1275,"[0.9738;1.6049]",0.0799
"23","Model_4","baseline_discriminaition",0.8041,0.2376,"[0.5047;1.281]",0.3588
"24","Model_4","PGS:baseline_discriminaition",1.3085,0.2233,"[0.8447;2.0271]",0.2285
"25","Model_5","PGS",1.2591,0.1773,"[0.8894;1.7824]",0.1939
"26","Model_5","baseline_discriminaition",0.6995,0.3598,"[0.3456;1.4158]",0.3204
"27","Model_5","PGS:baseline_discriminaition",1.662,0.3437,"[0.8474;3.2598]",0.1394
