"","analysis_variable_name","dataset","wave","outcome_name","N_subset","N_discrimYES","Estimate","SE","t.value","p_value","OR","CI1","CI2","Estimate_rounded","SE_rounded","OR_rounded","CI95_edited","p_value_rounded"
"gene","depressive_symptoms","ELSA","wave 5","depressive_symptoms",2604,912,0.10307517017236,0.0341364226135103,3.01950709186396,0.00255728347860005,1.10857473769816,1.0368310678384,1.18528272076632,0.1,0.03,1.11,"[1.04;1.19]",0.0026
"discrimination","depressive_symptoms","ELSA","wave 5","depressive_symptoms",2604,912,0.569263165953729,0.0723922268487847,7.86359517773676,5.56458057216849e-15,1.76696461196714,1.53323059384732,2.03633031617882,0.57,0.07,1.77,"[1.53;2.04]",0
"gene:discrimination","depressive_symptoms","ELSA","wave 5","depressive_symptoms",2604,912,-0.0293305653083726,0.071263990557824,-0.41157624038151,0.680686557191494,0.971095400952624,0.844504325994393,1.11666245953321,-0.03,0.07,0.97,"[0.84;1.12]",0.6807
"gene1","depressive_symptoms","ELSA","wave 6","depressive_symptoms",2604,912,0.0973198896667288,0.0328832770027273,2.95955569326795,0.00310961825945229,1.10221290375108,1.03341603247465,1.17558974025805,0.1,0.03,1.1,"[1.03;1.18]",0.0031
"discrimination1","depressive_symptoms","ELSA","wave 6","depressive_symptoms",2604,912,0.493058251330384,0.0697150594000154,7.07247839381853,1.98390613911246e-12,1.63731589444045,1.42820619210794,1.87704223171772,0.49,0.07,1.64,"[1.43;1.88]",0
"gene:discrimination1","depressive_symptoms","ELSA","wave 6","depressive_symptoms",2604,912,0.0164883982313509,0.0686071961364241,0.240330448697598,0.810094566495913,1.01662508206863,0.888714506334181,1.16294552426538,0.02,0.07,1.02,"[0.89;1.16]",0.8101
"gene2","depressive_symptoms","ELSA","wave 7","depressive_symptoms",2604,912,0.137332785530703,0.032798216149602,4.1872028925076,2.92210959750449e-05,1.14720985984491,1.07578374721965,1.22337827274933,0.14,0.03,1.15,"[1.08;1.22]",0
"discrimination2","depressive_symptoms","ELSA","wave 7","depressive_symptoms",2604,912,0.336070272527815,0.0701409534398811,4.79135592041626,1.75758421353322e-06,1.39943736335668,1.21968975831638,1.60567465669473,0.34,0.07,1.4,"[1.22;1.61]",0
"gene:discrimination2","depressive_symptoms","ELSA","wave 7","depressive_symptoms",2604,912,-0.0559555917787733,0.0684917438259588,-0.816968420616644,0.414027969798223,0.945581126533879,0.82679628623649,1.08143164373302,-0.06,0.07,0.95,"[0.83;1.08]",0.414
"gene3","depressive_symptoms","ELSA","wave 8","depressive_symptoms",2604,912,0.106477656816341,0.0328489814187127,3.24142948175815,0.00120511269944952,1.11235307265903,1.04299338770156,1.18632521820746,0.11,0.03,1.11,"[1.04;1.19]",0.0012
"discrimination3","depressive_symptoms","ELSA","wave 8","depressive_symptoms",2604,912,0.409934521281196,0.0710762303416356,5.76753324298153,9.08836550170711e-09,1.50671912384496,1.31078693376455,1.73193862380069,0.41,0.07,1.51,"[1.31;1.73]",0
"gene:discrimination3","depressive_symptoms","ELSA","wave 8","depressive_symptoms",2604,912,0.0507881267772878,0.0695467443867522,0.730273246075373,0.465295508671147,1.05209995785833,0.918033875650193,1.20574452717393,0.05,0.07,1.05,"[0.92;1.21]",0.4653
